model,WLS,log_likelihood,Pseudo RMSE,Pseudo CRPS,Station RMSE,Station CRPS,Period RMSE,Period CRPS
Separable kernel semivariogram,0.3853830956257992,-27347.17059643979,0.37154357365033636,0.183785585310497,0.7991037727103977,0.4341778853940932,0.4255941559822776,0.20608589390996962
PCA MLE,0.5920027847646977,-25005.973823905533,0.3680590457785446,0.18167415068260584,0.7947770424462054,0.43192998497099816,0.422420724297643,0.204499031692815
PCA semivariogram,0.334132168908683,-25992.745889039703,0.37069826084454444,0.18348933225592687,0.797753280616956,0.4333432691704048,0.4281820823170073,0.2078260409981498
LMC MLE,0.2623458409769927,-24260.028170630743,0.3616418272011174,0.17806999134738516,0.7923389391157579,0.429744381239153,0.41864211166463794,0.20289952623237525
LMC semivariogram,0.134111528266329,-24913.403470943133,0.3667024385466979,0.18100017450245748,0.7956624349113567,0.43169355138439985,0.42910228917402643,0.20960172962493706
