recid,eqid,station_latitude,station_longitude,scaled_deltaW
50,30,33.801,-118.387,-1.828499005260707
51,30,33.5556,-116.674,1.965145073010459
52,30,35.37,-119.021,-3.283466639858589
53,30,33.26,-116.37,0.4262986808769941
54,30,35.16,-119.35,-1.605896551248819
55,30,33.9121,-117.838,0.689929328571578
56,30,34.564,-118.642,1.178959781085086
57,30,34.31,-117.3,-0.1251178682214321
59,30,35.733,-120.29,-1.0681435028830844
60,30,35.671,-120.359,-0.903708735441126
61,30,34.059,-117.312,0.3575632484917831
62,30,34.704,-118.426,-0.5431842822224956
63,30,34.87,-118.9,-0.7207193451592883
64,30,34.808,-118.72,0.1169958549445911
65,30,33.729,-116.979,1.974376246921988
66,30,35.644,-118.474,-1.300718423007322
67,30,34.09,-118.339,1.6711534518218638
68,30,33.77,-118.23,-2.189201888985304
69,30,34.674,-118.43,-0.804900013902118
70,30,34.571,-118.56,1.3295153145195813
71,30,34.65,-118.478,0.6795226257255998
72,30,34.608,-118.558,0.7030009575370436
73,30,35.997,-119.486,-0.1757695825243484
74,30,35.04,-119.429,-1.641906033221978
75,30,35.078,-119.401,-1.669895560779585
77,30,34.57806,-118.11401,0.9129703773280098
78,30,34.139,-118.121,-0.5537706621059432
80,30,34.5083,-117.922,1.5704389442190183
81,30,34.145,-119.206,-1.744643817417426
82,30,34.091,-117.808,0.3457353733038917
83,30,32.719,-117.163,-0.7087857680434638
84,30,33.4894,-117.671,0.9524614337546778
85,30,33.37,-117.56,-0.5179277677298384
86,30,34.185,-118.018,1.7277547497464056
87,30,34.46,-118.753,2.080950334418489
88,30,34.9417,-118.827,1.0174490057299934
89,30,34.41,-119.85,-0.9548605383887864
90,30,34.155,-117.675,1.0163075898620555
91,30,35.027,-118.791,0.2170605201214332
92,30,34.02,-118.053,0.9400283386828312
93,30,34.36,-117.63,0.3174232750662267
321,76,36.503,-120.32,1.2383028531172016
322,76,35.639,-120.404,-0.282566833129478
323,76,35.743,-120.277,0.0871581372105089
324,76,35.751,-120.259,-1.0997025646703225
326,76,35.77,-120.247,-0.8668149560416185
327,76,35.724,-120.294,0.0111616558739229
328,76,35.707,-120.316,-0.2017562487436803
329,76,35.718,-120.304,1.030572603808456
330,76,35.697,-120.328,1.1423537220665854
331,76,35.684,-120.342,0.7645587837507594
332,76,35.671,-120.359,0.4778641003467205
334,76,35.872,-120.422,-0.5354378364645143
335,76,35.896,-120.398,-0.7101512090288933
336,76,35.899,-120.433,-0.7768906964194445
337,76,35.908,-120.458,1.09502220178772
338,76,35.921,-120.481,0.6959961946113986
339,76,35.927,-120.456,0.5376562146271356
340,76,35.787,-120.334,0.237510846320915
341,76,35.803,-120.334,0.7239341271831468
342,76,35.836,-120.395,-0.7810107617310332
343,76,35.859,-120.42,-1.6438448731223758
344,76,35.871,-120.404,-0.4363936922898964
345,76,35.878,-120.381,0.0369580134401126
346,76,35.879,-120.445,-1.7857491435927355
347,76,35.818,-120.378,-0.6427233715399968
348,76,35.843,-120.348,-0.6584414728736435
349,76,35.812,-120.391,-0.6283056352432828
350,76,35.87,-120.334,-0.4187282274970568
351,76,35.796,-120.411,0.8558137723874192
352,76,35.785,-120.444,0.1779373263306064
353,76,35.77,-120.477,0.3154781103914931
354,76,35.738,-120.507,0.0682571945006359
355,76,35.81,-120.282,-0.3253688087299887
356,76,35.833,-120.27,1.2771146118182797
357,76,35.855,-120.281,-0.9261311409783356
358,76,35.957,-120.481,0.2411903526080744
359,76,35.934,-120.497,-0.8783915456855852
361,76,35.927,-120.509,-0.737150483630975
362,76,35.922,-120.534,-0.1549973997078395
363,76,35.905,-120.55,-1.339491417272631
365,76,35.861,-120.6,0.4236654160765005
368,76,36.034,-120.59,0.2160083781232755
588,113,34.07,-118.15,0.6764845856399443
589,113,34.177,-118.096,0.306417603825584
590,113,33.817,-117.951,-1.4964305900908903
591,113,34.13,-118.036,0.1229306996434145
592,113,34.236,-118.439,-0.0630321446978792
593,113,34.1,-117.974,-0.4776928036344235
594,113,33.965,-118.158,0.2704425841741771
595,113,34.127,-118.405,0.0471667187372219
596,113,34.132,-118.439,-0.5927818970447271
597,113,34.286,-118.225,0.8928004300039295
598,113,33.916,-117.896,-0.1193357836883682
599,113,33.89,-117.927,0.45492015682905
600,113,33.8904,-117.9258,-0.1328777204678568
601,113,34.168,-118.331,0.4869467008955535
602,113,34.15,-118.696,-0.4556409991120097
603,113,34.212,-118.606,0.9552616240981272
604,113,34.419,-118.426,0.4464422862680127
605,113,33.9121,-117.838,0.9125130093938172
606,113,33.812,-118.27,-0.4761939902569977
608,113,34.459,-118.65,-0.537190195052742
609,113,34.564,-118.642,0.3870838267609383
610,113,33.899,-118.196,1.2952429170027873
611,113,34.078,-117.871,-1.6002300158585
612,113,34.087,-117.915,-2.0198117394209323
613,113,33.92,-118.137,0.9474070507253634
614,113,33.924,-118.167,-0.2234458099200701
615,113,34.093,-118.019,0.1289832996789038
616,113,33.869,-117.709,-0.4357544979354563
617,113,33.719,-117.937,-0.8060041660541885
618,113,34.049,-118.112,1.218595070385303
619,113,34.2,-118.231,0.6817329221033548
620,113,34.137,-117.883,-0.3254569595709073
621,113,33.99,-117.943,0.6155172266336596
622,113,33.729,-116.979,2.054162896128883
623,113,33.662,-117.997,-0.2781023039956328
624,113,33.905,-118.279,1.8710289767717223
625,113,33.929,-118.26,1.822419775681145
626,113,34.009,-118.361,0.2312912801786917
627,113,34.001,-118.431,-0.427828964049757
628,113,34.063,-118.418,0.1508140791207578
629,113,34.062,-118.416,-1.167039383051732
630,113,34.086,-118.481,-2.0702719840875963
631,113,34.088,-118.222,-0.5507276349609221
632,113,34.004,-118.23,-0.4259569405712538
633,113,34.115,-118.244,0.125306042124445
634,113,34.09,-118.339,1.2799629425736676
635,113,34.089,-118.435,-1.3934871117577143
636,113,34.111,-118.189,-0.6833776954792448
637,113,34.082,-118.298,0.3821826950616723
638,113,34.037,-118.178,1.0267647913861884
639,113,34.005,-118.279,0.7932074475597677
640,113,34.046,-118.355,0.0265458319562056
641,113,33.976,-118.289,-0.1769620072861759
643,113,33.754,-118.2,-1.1742846088211036
644,113,33.881,-118.176,0.2907918319836617
645,113,33.84,-118.194,0.1665078382599503
646,113,33.778,-118.133,-1.0220053560061024
647,113,34.238,-118.254,0.8039511881601866
648,113,33.921,-117.973,-0.6460423113296073
649,113,34.026,-117.918,-0.7134170828627003
650,113,34.674,-118.43,-0.1404410717848818
651,113,33.846,-118.099,1.2803505873511134
652,113,34.688,-118.156,0.9703407037274696
653,113,33.897,-118.346,-0.8829477662297717
654,113,34.6,-118.241,-0.5256274842058656
655,113,34.604,-118.244,0.5114914640650459
656,113,34.045,-118.638,0.02151561609949
657,113,34.013,-118.8,-0.2231878748646935
658,113,34.024,-118.788,-0.3682492325240258
