recid,eqid,station_latitude,station_longitude,scaled_deltaW
50,30,33.801,-118.387,-0.9580310960569542
51,30,33.5556,-116.674,1.665531283040162
52,30,35.37,-119.021,-1.7432122410824853
53,30,33.26,-116.37,0.599924041443796
54,30,35.16,-119.35,-1.2833556961873855
55,30,33.9121,-117.838,-0.2424806041034127
56,30,34.564,-118.642,1.7559608230768973
57,30,34.31,-117.3,0.5570374437383485
59,30,35.733,-120.29,-1.6979773554404003
60,30,35.671,-120.359,-0.5868967452874768
61,30,34.059,-117.312,-0.1954857582141894
62,30,34.704,-118.426,0.2410364086423692
63,30,34.87,-118.9,-2.311302271382985
64,30,34.808,-118.72,-0.1958574705760986
65,30,33.729,-116.979,1.418571467863318
66,30,35.644,-118.474,-0.3891042776773195
67,30,34.09,-118.339,0.3344871548954168
68,30,33.77,-118.23,-0.5408944239145826
69,30,34.674,-118.43,1.1215449008649054
70,30,34.571,-118.56,-0.0208778789990674
71,30,34.65,-118.478,0.5306758713511224
72,30,34.608,-118.558,-0.8637484897235133
73,30,35.997,-119.486,0.2153925470924326
74,30,35.04,-119.429,-0.5887280445717918
75,30,35.078,-119.401,-1.270462403137579
77,30,34.57806,-118.11401,1.1130542743693563
78,30,34.139,-118.121,0.4382141374934322
80,30,34.5083,-117.922,-0.0285413255575817
81,30,34.145,-119.206,-0.6795732064650628
82,30,34.091,-117.808,0.8805087123767739
83,30,32.719,-117.163,0.0926819804347801
84,30,33.4894,-117.671,1.8936020073205373
85,30,33.37,-117.56,0.1996538264536575
86,30,34.185,-118.018,0.0489251611604862
87,30,34.46,-118.753,-0.4812449169368279
88,30,34.9417,-118.827,-0.5183067510706179
89,30,34.41,-119.85,0.6971087558664459
90,30,34.155,-117.675,0.3941122926111622
91,30,35.027,-118.791,-1.3145956041924498
92,30,34.02,-118.053,0.0130503398200218
93,30,34.36,-117.63,0.6236381128315263
321,76,36.503,-120.32,1.3794437367358807
322,76,35.639,-120.404,-0.0888788205837003
323,76,35.743,-120.277,0.2274562918407986
324,76,35.751,-120.259,-1.1658206894892351
326,76,35.77,-120.247,-0.3732477900756221
327,76,35.724,-120.294,-0.5572000222594379
328,76,35.707,-120.316,-0.1946383665867295
329,76,35.718,-120.304,1.255902117145097
330,76,35.697,-120.328,0.9200570668423776
331,76,35.684,-120.342,1.333006541124461
332,76,35.671,-120.359,1.0174321672267983
334,76,35.872,-120.422,0.2861983244005833
335,76,35.896,-120.398,0.4097675161889191
336,76,35.899,-120.433,0.2091966418338193
337,76,35.908,-120.458,0.8862493022697933
338,76,35.921,-120.481,0.0785668785949921
339,76,35.927,-120.456,-0.1974260815438702
340,76,35.787,-120.334,0.3425670338912986
341,76,35.803,-120.334,0.6791584650978076
342,76,35.836,-120.395,0.5897034853455296
343,76,35.859,-120.42,-1.235546883119943
344,76,35.871,-120.404,0.6829783260622001
345,76,35.878,-120.381,0.6709101846886598
346,76,35.879,-120.445,-1.0875101863160586
347,76,35.818,-120.378,-0.0342268928615864
348,76,35.843,-120.348,-0.533658433407525
349,76,35.812,-120.391,-0.1734213514470949
350,76,35.87,-120.334,-0.1000743316358665
351,76,35.796,-120.411,0.4920823139239181
352,76,35.785,-120.444,-0.4257125621332294
353,76,35.77,-120.477,-0.0269552592152889
354,76,35.738,-120.507,-0.4135683463626743
355,76,35.81,-120.282,0.1146501170575992
356,76,35.833,-120.27,0.0420396918699214
