recid,eqid,station_latitude,station_longitude,scaled_deltaW
321,76,36.503,-120.32,1.3130218147215211
322,76,35.639,-120.404,0.0194782012001793
323,76,35.743,-120.277,0.388167583402708
324,76,35.751,-120.259,-0.3499637804610674
326,76,35.77,-120.247,-0.0981640586039021
327,76,35.724,-120.294,-0.0999465290027254
328,76,35.707,-120.316,-0.4326927611956427
329,76,35.718,-120.304,0.1553323523100218
330,76,35.697,-120.328,-0.5518190991416957
331,76,35.684,-120.342,-0.2817220472819216
332,76,35.671,-120.359,0.0243687643231913
334,76,35.872,-120.422,1.5337468963097505
335,76,35.896,-120.398,0.0095461250942467
336,76,35.899,-120.433,0.9202162904820468
337,76,35.908,-120.458,1.0847547092095533
338,76,35.921,-120.481,1.010634707261845
339,76,35.927,-120.456,-0.2140136816700155
340,76,35.787,-120.334,1.2849767932518832
341,76,35.803,-120.334,0.3723540054683085
342,76,35.836,-120.395,0.8740955175798759
343,76,35.859,-120.42,1.237530259439026
344,76,35.871,-120.404,1.1382189660127382
345,76,35.878,-120.381,0.3939286689887503
346,76,35.879,-120.445,0.3853639716648236
347,76,35.818,-120.378,0.5640792861607014
348,76,35.843,-120.348,-0.5269450102112824
349,76,35.812,-120.391,0.1859195547570738
350,76,35.87,-120.334,0.0489297029080879
351,76,35.796,-120.411,-0.0148359306606923
352,76,35.785,-120.444,-0.0429111082395677
353,76,35.77,-120.477,-0.1998499394135956
354,76,35.738,-120.507,-0.1428219941751134
355,76,35.81,-120.282,-0.1982897794582195
356,76,35.833,-120.27,-0.2737681314973619
357,76,35.855,-120.281,-0.3912966885275042
358,76,35.957,-120.481,0.4038550553504345
359,76,35.934,-120.497,0.4878849566716587
361,76,35.927,-120.509,-0.3787277804582453
362,76,35.922,-120.534,-0.3768094095866388
363,76,35.905,-120.55,-0.8059761063607357
365,76,35.861,-120.6,-0.3325480755342369
368,76,36.034,-120.59,0.0353257701090262
589,113,34.177,-118.096,0.4425349016711184
591,113,34.13,-118.036,0.1406436812782267
592,113,34.236,-118.439,-1.0102829136433105
593,113,34.1,-117.974,0.6181962698468033
594,113,33.965,-118.158,0.1257564607851926
595,113,34.127,-118.405,-1.3228325005230834
596,113,34.132,-118.439,-1.236177619849485
598,113,33.916,-117.896,-0.3694812825404406
599,113,33.89,-117.927,0.3706972220006458
600,113,33.8904,-117.9258,0.3110724466325851
601,113,34.168,-118.331,-0.3980952868724737
602,113,34.15,-118.696,-1.4252793517646822
603,113,34.212,-118.606,-1.03722006636819
606,113,33.812,-118.27,-0.2815685121771868
608,113,34.459,-118.65,0.7219507040311302
610,113,33.899,-118.196,-0.0871142301367154
611,113,34.078,-117.871,-0.7725106603652915
612,113,34.087,-117.915,-0.5853240480421591
613,113,33.92,-118.137,0.411400875783655
614,113,33.924,-118.167,0.0863722034116611
615,113,34.093,-118.019,0.5099394620780833
621,113,33.99,-117.943,-0.4150736894811241
623,113,33.662,-117.997,0.6381537424744584
624,113,33.905,-118.279,0.0474732575488696
625,113,33.929,-118.26,-0.396948258584444
626,113,34.009,-118.361,-0.5265362937978225
627,113,34.001,-118.431,-0.8764124608437165
628,113,34.063,-118.418,-1.4187934775958608
629,113,34.062,-118.416,-1.0334061538777355
631,113,34.088,-118.222,-1.642292290688483
632,113,34.004,-118.23,-1.0745529983467048
633,113,34.115,-118.244,0.8208778515831398
635,113,34.089,-118.435,-1.1022482976287884
637,113,34.082,-118.298,-1.0349456855052344
638,113,34.037,-118.178,-0.3689104455744573
639,113,34.005,-118.279,-1.4677244098558213
640,113,34.046,-118.355,-0.9409301904804492
641,113,33.976,-118.289,-0.9098531972533112
643,113,33.754,-118.2,1.6724502348995631
644,113,33.881,-118.176,0.8591687576241902
645,113,33.84,-118.194,0.2778580561998381
646,113,33.778,-118.133,0.6594840669599806
648,113,33.921,-117.973,0.2196777104884011
651,113,33.846,-118.099,0.6123953510460693
652,113,34.688,-118.156,1.2007255553244056
657,113,34.013,-118.8,0.3401714109833804
661,113,34.288,-118.881,-0.012256118747986
662,113,34.224,-118.057,0.0507805104228266
663,113,34.194,-118.412,-0.8012247355818739
666,113,34.209,-118.517,-0.3799409324900826
667,113,33.915,-118.07,0.5208104554312116
670,113,34.296,-118.375,0.4006390412098536
671,113,34.25,-118.42,-0.5796695796005319
672,113,34.222,-118.442,-0.5997758048439076
674,113,34.139,-118.121,0.7594279381101466
682,113,34.168,-118.078,0.4150843600628188
686,113,33.74,-118.335,0.2064204239244591
689,113,34.091,-118.093,0.0873732312269716
691,113,33.944,-118.087,0.9462818630833936
692,113,34.005,-118.485,-0.0503422742513836
693,113,34.146,-118.412,-0.2269616823621018
694,113,34.221,-118.421,-0.8403495349773896
696,113,34.269,-118.303,0.3621737714050643
697,113,34.326,-118.444,0.2047742198608594
698,113,34.306,-118.437,-0.8659812793538866
699,113,34.16,-118.534,0.3848013551180414
700,113,33.736,-118.269,1.660420151162251
704,113,34.064,-117.952,-0.1523201376563265
730,118,37.465,-122.342,0.6560360212508838
732,118,37.657,-122.082,-0.3738429576159946
733,118,37.657,-122.061,-0.2606933463303027
734,118,37.484,-122.313,1.6069285164517946
735,118,37.47,-122.32,1.0660286052686034
736,118,37.397,-121.952,-0.2096699154345867
737,118,37.785,-122.303,1.8711448945706857
740,118,37.047,-121.984,-0.7685495072301577
742,118,36.532,-121.143,-0.8572478548895257
743,118,36.658,-121.249,0.6266088158076231
744,118,36.569,-121.043,-0.2878757661446335
745,118,36.673,-121.195,0.1688565363207097
746,118,36.483,-121.18,-1.0037511100253336
747,118,37.512,-122.308,1.6816180366329925
748,118,37.87,-122.24,0.1256382524464013
749,118,37.876,-122.249,0.6003686676648787
750,118,37.452,-121.807,0.0902321441112186
751,118,36.973,-121.953,-1.1453884413233173
752,118,37.05,-121.803,-2.130316396689514
753,118,37.124,-121.551,-1.6303166816139725
754,118,37.118,-121.55,-0.7175230446968706
755,118,37.709,-121.932,-0.1329842281257212
756,118,37.492,-122.136,0.5369332388556785
757,118,37.844,-122.295,1.493899164148314
760,118,37.535,-121.929,-0.6981096583858838
761,118,37.53,-121.919,-0.9692059627202672
762,118,36.973,-121.568,-0.9172459046143732
763,118,37.009,-121.569,-0.9537797434046372
765,118,36.982,-121.556,-1.12981325326972
766,118,36.987,-121.536,-0.6920258225570857
767,118,37.001,-121.522,-1.6473628598471828
768,118,37.026,-121.484,-1.1374643233543662
769,118,37.033,-121.434,-2.0730013938244567
770,118,37.808,-122.476,2.2425103813593283
771,118,37.338,-121.714,-1.2747701270290948
772,118,37.67,-122.086,-0.064658241153165
773,118,37.679,-122.082,-0.2268734603740178
774,118,36.765,-121.446,-1.3000492466862514
775,118,36.848,-121.397,0.758032836213297
776,118,36.85,-121.4,0.4363447538795449
777,118,36.888,-121.413,0.0593927956803149
778,118,37.172,-122.01,0.9006513718111316
780,118,37.529,-122.361,1.230906564733259
781,118,36.597,-121.897,-1.711492403263672
782,118,37.813,-122.314,1.9428502210010905
783,118,37.806,-122.267,1.33158974932176
784,118,38.043,-122.797,1.2700293647067002
785,118,37.453,-122.112,1.6246212440384138
786,118,37.42,-122.21,1.26189689096186
789,118,37.935,-122.342,0.5856317651753874
790,118,36.753,-121.395,-0.2106051000389386
791,118,37.728,-122.385,1.0002306888237429
792,118,37.778,-122.513,1.988007000777094
793,118,37.74,-122.432,1.1038978840946887
795,118,37.792,-122.457,2.063984855142389
797,118,37.803,-122.408,-0.0566296970120529
798,118,37.622,-122.398,0.7583116072965093
799,118,36.671,-121.642,-0.4907021797463546
800,118,37.21,-121.803,-1.1072789484822256
801,118,37.255,-122.031,0.4387729796911986
802,118,37.262,-122.009,-0.5414098920289011
805,118,37.402,-122.025,1.8291546918503323
806,118,37.597,-121.88,-0.1034742452125069
808,118,37.001,-122.062,-2.0054803618601293
809,118,37.001,-122.06,-1.4893883899592
810,118,36.972,-121.995,-0.8715055348997474
811,118,37.429,-122.258,1.1772348049535175
812,118,37.807,-122.361,1.0953741909186354
831,125,34.56,-115.743,2.1301871814701063
832,125,33.817,-117.951,0.4223845110986755
833,125,34.127,-118.059,-0.448735015553805
834,125,34.13,-118.036,0.4429657677128708
835,125,35.271,-116.066,0.5237430257611603
836,125,34.1,-117.974,1.4381963389952308
837,125,34.887,-117.047,1.1241955957663805
838,125,33.965,-118.158,0.0377100059910358
839,125,34.286,-118.225,-0.4937230849832935
840,125,35.002,-117.65,-0.3223729446147306
841,125,33.916,-117.896,0.5379590540032629
842,125,33.847,-118.018,0.0796049322393094
843,125,34.168,-118.331,-0.0013846021861217
844,125,34.15,-118.696,-1.0365363606269338
845,125,34.358,-118.571,0.2771845424362932
846,125,33.899,-118.196,0.3716459638437256
847,125,34.851,-116.858,-0.8303295831323396
848,125,34.087,-117.915,0.5070433333328596
849,125,33.962,-116.509,-0.4487171092009596
850,125,33.924,-118.167,0.3038920548677079
851,125,34.15,-117.939,-0.2518546338327003
852,125,34.093,-118.019,0.9252360704470758
853,125,33.869,-117.709,-1.3258524057895422
854,125,35.268,-116.684,-0.118299473557257
855,125,33.719,-117.937,0.5993833493948414
856,125,34.2,-118.231,-1.1502719882953687
857,125,34.137,-117.883,-0.2336155299695905
858,125,33.99,-117.943,0.7025028049302994
859,125,33.729,-116.979,-1.2097990340820444
860,125,33.727,-118.044,0.3177521277731273
861,125,33.717,-116.155,-0.1410113888598283
