recid,eqid,station_latitude,station_longitude,scaled_deltaW
50,30,33.801,-118.387,-1.438342959571496
51,30,33.5556,-116.674,2.3189955804420204
52,30,35.37,-119.021,-2.861351442686364
53,30,33.26,-116.37,0.4288717910131013
54,30,35.16,-119.35,-1.303571122389509
55,30,33.9121,-117.838,0.4593447398109692
56,30,34.564,-118.642,1.4696742907748923
57,30,34.31,-117.3,-0.028061689867196
59,30,35.733,-120.29,-1.6183412928671348
60,30,35.671,-120.359,-0.8110070599585767
61,30,34.059,-117.312,0.4233544313520612
62,30,34.704,-118.426,0.1446803488559924
63,30,34.87,-118.9,-1.341256638675322
64,30,34.808,-118.72,0.4424941519394898
65,30,33.729,-116.979,1.6455891734853725
66,30,35.644,-118.474,-1.1071351048117228
67,30,34.09,-118.339,1.4230251848310775
68,30,33.77,-118.23,-1.699060949752354
69,30,34.674,-118.43,-0.160362470982795
70,30,34.571,-118.56,1.902057624740329
71,30,34.65,-118.478,0.9864871687032156
72,30,34.608,-118.558,1.0315210319151742
73,30,35.997,-119.486,-0.0567042831261627
74,30,35.04,-119.429,-1.447422999930333
75,30,35.078,-119.401,-1.818072747870236
77,30,34.57806,-118.11401,0.1157638574390392
78,30,34.139,-118.121,-0.3654744764275645
80,30,34.5083,-117.922,1.4332337061686955
81,30,34.145,-119.206,-1.2487955842705192
82,30,34.091,-117.808,0.2109312866129117
83,30,32.719,-117.163,-0.8931853666481514
84,30,33.4894,-117.671,1.153120051066215
85,30,33.37,-117.56,-0.4747293609271319
86,30,34.185,-118.018,1.8678188505234103
87,30,34.46,-118.753,0.3612089491321162
88,30,34.9417,-118.827,0.5015034546878844
89,30,34.41,-119.85,-0.2450459430523443
90,30,34.155,-117.675,0.7426884048661584
91,30,35.027,-118.791,-0.8372739345280192
92,30,34.02,-118.053,0.5020401422038386
93,30,34.36,-117.63,0.1561690354535173
321,76,36.503,-120.32,1.1978287113299388
322,76,35.639,-120.404,-0.4007260570610672
323,76,35.743,-120.277,0.3741065416618549
324,76,35.751,-120.259,-1.5406730020208677
326,76,35.77,-120.247,-1.038933217406431
327,76,35.724,-120.294,0.3099975023543619
328,76,35.707,-120.316,-0.2722500856137438
329,76,35.718,-120.304,1.4061458755952767
330,76,35.697,-120.328,1.2877873202158463
331,76,35.684,-120.342,1.1495210552067177
332,76,35.671,-120.359,0.792279357407963
334,76,35.872,-120.422,-0.2313491007247225
335,76,35.896,-120.398,-0.6344808220385909
336,76,35.899,-120.433,-0.3589996047021392
337,76,35.908,-120.458,1.4350267725971104
338,76,35.921,-120.481,0.4830119508482267
339,76,35.927,-120.456,0.4536270263946717
340,76,35.787,-120.334,0.5948248047903895
341,76,35.803,-120.334,0.9276613657436872
342,76,35.836,-120.395,-0.3364279441725855
343,76,35.859,-120.42,-1.5213940597413067
344,76,35.871,-120.404,-0.010283208828777
345,76,35.878,-120.381,0.0406767019319528
346,76,35.879,-120.445,-1.561483780313636
347,76,35.818,-120.378,-0.2346918487237924
348,76,35.843,-120.348,-0.4276456402647978
349,76,35.812,-120.391,-0.3476383473761194
350,76,35.87,-120.334,-0.3386945066762219
351,76,35.796,-120.411,1.135000728045249
352,76,35.785,-120.444,0.0158720201697403
353,76,35.77,-120.477,-0.1572930913434787
354,76,35.738,-120.507,-0.3275873782016407
355,76,35.81,-120.282,-0.0872968627720124
356,76,35.833,-120.27,0.7197436827016065
357,76,35.855,-120.281,-0.7941043031477439
358,76,35.957,-120.481,0.4955143009186129
359,76,35.934,-120.497,-0.8359129514242887
361,76,35.927,-120.509,-0.5894976701125993
362,76,35.922,-120.534,0.0996895246185239
363,76,35.905,-120.55,-1.349463015549591
365,76,35.861,-120.6,-0.4571786480651584
368,76,36.034,-120.59,0.6952620158895321
588,113,34.07,-118.15,0.69860073676836
589,113,34.177,-118.096,0.2204841879938569
590,113,33.817,-117.951,-1.4997463271514062
591,113,34.13,-118.036,0.3084841539133697
592,113,34.236,-118.439,-0.0516895123282039
593,113,34.1,-117.974,-1.0245215409266624
594,113,33.965,-118.158,0.6228910606291096
595,113,34.127,-118.405,0.2504974697742614
596,113,34.132,-118.439,0.2334736768293403
597,113,34.286,-118.225,0.998288978707713
598,113,33.916,-117.896,-0.7137320869842314
599,113,33.89,-117.927,1.1541720873005408
600,113,33.8904,-117.9258,-0.1098797845129555
601,113,34.168,-118.331,0.6984902018568337
602,113,34.15,-118.696,-0.4567769527094426
603,113,34.212,-118.606,1.333634542382406
604,113,34.419,-118.426,1.1141812630972503
605,113,33.9121,-117.838,0.5539254014540239
606,113,33.812,-118.27,-1.375505458553104
608,113,34.459,-118.65,-0.0903443517205594
609,113,34.564,-118.642,1.3109672164142758
610,113,33.899,-118.196,1.453368138426885
611,113,34.078,-117.871,-1.7654543933046538
612,113,34.087,-117.915,-1.2958562552925188
613,113,33.92,-118.137,1.1888108817651006
614,113,33.924,-118.167,0.0194100120736933
615,113,34.093,-118.019,-0.4116849786914965
616,113,33.869,-117.709,0.0645689861821758
617,113,33.719,-117.937,-0.4809748723698615
618,113,34.049,-118.112,1.1145583191448711
619,113,34.2,-118.231,0.8954976250182574
620,113,34.137,-117.883,-0.8563556363483055
621,113,33.99,-117.943,-0.1454865020858356
622,113,33.729,-116.979,0.928746810435922
623,113,33.662,-117.997,-0.8030278039935814
624,113,33.905,-118.279,1.2571457888894233
625,113,33.929,-118.26,1.344416686777691
626,113,34.009,-118.361,0.2436328828262152
627,113,34.001,-118.431,-1.0556385197381972
628,113,34.063,-118.418,-0.4375801186304326
629,113,34.062,-118.416,-1.2500316079235554
630,113,34.086,-118.481,-1.6344173734886736
631,113,34.088,-118.222,-0.7485633692687212
632,113,34.004,-118.23,-0.5153475723463865
633,113,34.115,-118.244,0.0986028368588343
634,113,34.09,-118.339,0.1012909992615612
635,113,34.089,-118.435,-1.4143735524186634
636,113,34.111,-118.189,-0.6195719354002088
637,113,34.082,-118.298,0.4859300523040669
638,113,34.037,-118.178,1.0744092610862237
639,113,34.005,-118.279,0.128058501456706
640,113,34.046,-118.355,-0.0885822849347908
641,113,33.976,-118.289,-0.0883251314382315
643,113,33.754,-118.2,-1.0727941235242118
644,113,33.881,-118.176,0.7591750202694275
645,113,33.84,-118.194,0.8170572716473953
646,113,33.778,-118.133,-1.1540623241030814
647,113,34.238,-118.254,0.397076529647664
648,113,33.921,-117.973,-0.2847214410343686
649,113,34.026,-117.918,-0.8244919641580517
650,113,34.674,-118.43,-0.0466214857593405
651,113,33.846,-118.099,1.3209197384646698
652,113,34.688,-118.156,0.788958876595922
653,113,33.897,-118.346,-1.4216905634892152
654,113,34.6,-118.241,0.1609452182082205
655,113,34.604,-118.244,-0.2758044952824285
656,113,34.045,-118.638,0.3096339740859919
657,113,34.013,-118.8,0.0367109478553482
658,113,34.024,-118.788,-0.1039153967582761
660,113,34.39,-118.08,0.2466999747926003
661,113,34.288,-118.881,0.5633785111357232
662,113,34.224,-118.057,0.5940008098437932
663,113,34.194,-118.412,1.1103408691598518
664,113,34.387,-118.533,-0.2240314887175669
665,113,34.391,-118.622,0.5162055068281926
666,113,34.209,-118.517,0.9466497327209316
667,113,33.915,-118.07,0.000892853667574
668,113,33.9354,-117.884,0.4666171249642274
669,113,34.042,-118.554,-1.30577427390235
670,113,34.296,-118.375,1.2499196880932473
671,113,34.25,-118.42,0.7851641372066375
672,113,34.222,-118.442,0.3232323316628201
674,113,34.139,-118.121,-0.7863086475407428
682,113,34.168,-118.078,0.5684399709959559
683,113,33.96,-118.432,-2.2383555126975025
684,113,34.056,-117.748,-0.9161275083446392
685,113,34.104,-117.574,0.3839557912006296
686,113,33.74,-118.335,-2.238035886167665
687,113,33.951,-117.446,0.7579759383531455
688,113,34.827,-118.265,1.1558106446171057
689,113,34.091,-118.093,0.0816388361064442
690,113,34.115,-118.13,-0.5215767484783275
691,113,33.944,-118.087,1.6207237776348424
692,113,34.005,-118.485,-1.598237098566018
693,113,34.146,-118.412,1.444819584323258
694,113,34.221,-118.421,1.402798554255083
695,113,34.235,-118.366,-0.4058461025018741
696,113,34.269,-118.303,-0.6014833871212233
697,113,34.326,-118.444,-0.3581224953963599
698,113,34.306,-118.437,-0.9743205607749608
699,113,34.16,-118.534,3.9850170499293633
700,113,33.736,-118.269,-1.2437299495281398
701,113,33.822,-118.356,-1.6768921592055654
703,113,33.821,-117.818,-0.7733551252235257
704,113,34.064,-117.952,-0.7635540742506683
705,113,34.02,-118.053,0.3897816116468031
706,114,34.07,-118.15,0.4189689152390958
707,114,34.177,-118.096,1.0692779958975362
708,114,33.924,-118.167,-0.9718300340683226
709,114,33.905,-118.279,0.9876039449190396
710,114,33.929,-118.26,0.9780062715931336
711,114,34.009,-118.361,0.7303831175324357
712,114,34.09,-118.339,0.0472184163923953
713,114,34.037,-118.178,1.291422939153862
714,114,34.224,-118.057,1.1878046736624277
715,114,34.115,-118.13,0.1570617276354124
716,114,34.16,-118.534,1.4655979139064088
3683,114,33.817,-117.951,-1.1476988873568863
3684,114,34.13,-118.036,0.2843210581217283
3685,114,34.1,-117.974,-1.1333165896941524
3686,114,33.965,-118.158,0.0370485798584854
3687,114,34.127,-118.405,-0.3170169332081796
3688,114,34.286,-118.225,2.2566383329614177
3689,114,33.916,-117.896,0.1188864175945246
3690,114,33.847,-118.018,1.1964361735285003
3691,114,34.168,-118.331,-0.1527415823355646
3692,114,34.15,-118.696,-0.9186230821811906
3693,114,34.212,-118.606,0.0194779274848986
3694,114,34.419,-118.426,0.5664571061458541
3695,114,33.812,-118.27,-1.826179239331848
3697,114,33.899,-118.196,0.1126285834162142
3698,114,34.078,-117.871,-1.6572721196348272
3699,114,34.087,-117.915,-0.5812580396002602
3700,114,33.92,-118.137,0.4811820123038912
3701,114,34.093,-118.019,0.0587230554650276
3702,114,33.719,-117.937,-0.1048390100251147
3703,114,34.2,-118.231,1.4415245958684717
3704,114,33.79,-118.012,0.3862222357761961
3705,114,34.137,-117.883,-1.6074584515635364
3706,114,33.99,-117.943,-0.11934459933474
3707,114,34.001,-118.431,-1.1913499696747598
3708,114,34.088,-118.222,-0.8442499235092096
3709,114,34.004,-118.23,-0.1092827653055118
3710,114,34.115,-118.244,-0.0049149582808429
3711,114,34.089,-118.435,-1.227963299688714
3712,114,34.111,-118.189,-0.7739726956507218
3713,114,34.082,-118.298,-0.3491081360338996
3714,114,34.005,-118.279,0.5356731806891243
3715,114,34.046,-118.355,0.3749258909096658
3716,114,33.976,-118.289,0.7412583800570214
3718,114,34.238,-118.254,0.9272592496524468
3719,114,33.921,-117.973,-0.0219602712111975
3720,114,34.026,-117.918,-0.4410317177777865
3721,114,33.846,-118.099,1.3638645509540166
3722,114,33.897,-118.346,-0.7682276659431354
3723,114,33.881,-118.176,-0.5775288119860906
3724,114,34.024,-118.788,-1.0189009489719574
3725,114,33.886,-118.389,-0.1953592073253903
3726,114,34.39,-118.08,0.5189233684382204
3727,114,34.194,-118.412,-0.2573036404480574
3728,114,34.209,-118.517,-0.2023334997787483
3729,114,34.042,-118.554,-1.9793911931230623
3730,114,34.25,-118.42,0.3808828522499767
3731,114,34.222,-118.442,-0.276418601508837
3732,114,34.168,-118.078,1.940956794462702
3733,114,34.091,-118.093,-0.5413190958862062
3734,114,33.944,-118.087,1.6308059729751712
3735,114,34.146,-118.412,0.7592776785940569
3736,114,34.221,-118.421,1.0852962072037475
3737,114,34.235,-118.366,-0.2600981644156077
3738,114,34.269,-118.303,-0.1444992036906077
3739,114,34.306,-118.437,-1.654310792591781
3740,114,33.822,-118.356,-1.1924752816587323
3741,114,33.821,-117.818,-0.2016826068170031
3742,114,34.064,-117.952,-0.8086303781892127
730,118,37.465,-122.342,-0.8375754217602166
732,118,37.657,-122.082,0.603084525314336
733,118,37.657,-122.061,-0.392246095503223
734,118,37.484,-122.313,-0.2827136357635355
735,118,37.47,-122.32,-0.4216972648251735
736,118,37.397,-121.952,-0.9510698650132632
737,118,37.785,-122.303,1.938258009199639
740,118,37.047,-121.984,0.1213607167687011
741,118,36.573,-121.184,-0.2882020327517635
742,118,36.532,-121.143,0.0865138938591969
743,118,36.658,-121.249,0.548334161354666
744,118,36.569,-121.043,0.4710133019661727
745,118,36.673,-121.195,-0.9200802513866388
746,118,36.483,-121.18,-1.0134341750513156
747,118,37.512,-122.308,-0.0676819194392173
748,118,37.87,-122.24,-0.3235070077583305
749,118,37.876,-122.249,0.8622093460205325
750,118,37.452,-121.807,-1.0267511352425591
751,118,36.973,-121.953,0.8524491637662093
752,118,37.05,-121.803,-0.7094901549631332
753,118,37.124,-121.551,-1.1280164703082358
754,118,37.118,-121.55,0.5681135903609784
755,118,37.709,-121.932,-0.7728423704433993
756,118,37.492,-122.136,-0.8005498247788133
757,118,37.844,-122.295,2.194874727160302
760,118,37.535,-121.929,-0.0908929467908442
761,118,37.53,-121.919,-0.2304198991821705
