recid,eqid,station_latitude,station_longitude,scaled_deltaW
50,30,33.801,-118.387,-0.2369705172924439
51,30,33.5556,-116.674,0.6624533033087646
52,30,35.37,-119.021,-1.3886282479356828
53,30,33.26,-116.37,0.456357066972004
54,30,35.16,-119.35,-0.8590593876343379
55,30,33.9121,-117.838,-1.4280174769304352
56,30,34.564,-118.642,1.5675247777048964
57,30,34.31,-117.3,0.1180886850427024
59,30,35.733,-120.29,-0.9599426943941908
60,30,35.671,-120.359,0.1473480412292989
61,30,34.059,-117.312,-0.872575034445017
62,30,34.704,-118.426,0.6453581305742162
63,30,34.87,-118.9,-2.2779065956649465
64,30,34.808,-118.72,0.1735299654972231
65,30,33.729,-116.979,0.8560034783310471
66,30,35.644,-118.474,0.2180533013380083
67,30,34.09,-118.339,0.4880464200506242
68,30,33.77,-118.23,-1.0209341956584288
69,30,34.674,-118.43,2.2852082879909243
70,30,34.571,-118.56,0.6068069392936503
71,30,34.65,-118.478,0.5268871796611911
72,30,34.608,-118.558,-0.7198495714792572
73,30,35.997,-119.486,0.3574398227509016
74,30,35.04,-119.429,-0.4269064788055003
75,30,35.078,-119.401,-0.9302246240030138
77,30,34.57806,-118.11401,0.9694201875271368
78,30,34.139,-118.121,1.0566583423371996
80,30,34.5083,-117.922,-0.1689156769395958
81,30,34.145,-119.206,0.0592921559825796
82,30,34.091,-117.808,0.0434856870163063
83,30,32.719,-117.163,0.1220169790966688
84,30,33.4894,-117.671,1.9540211186743848
85,30,33.37,-117.56,0.5292177396054709
86,30,34.185,-118.018,-0.7004455252312205
87,30,34.46,-118.753,0.1487801014034372
88,30,34.9417,-118.827,-1.7812592402385037
89,30,34.41,-119.85,0.8047117339263004
90,30,34.155,-117.675,-0.257568836198939
91,30,35.027,-118.791,-1.1993932440315278
92,30,34.02,-118.053,-0.6620815194214308
93,30,34.36,-117.63,0.3444552953614577
321,76,36.503,-120.32,0.6006894784918968
322,76,35.639,-120.404,0.0182597352432613
323,76,35.743,-120.277,0.5325680858157819
324,76,35.751,-120.259,-1.2088484138784426
326,76,35.77,-120.247,-1.1737886121502443
327,76,35.724,-120.294,-0.3655370905979247
328,76,35.707,-120.316,-0.930405937929524
329,76,35.718,-120.304,0.1428630353466008
330,76,35.697,-120.328,-0.3367620257801992
331,76,35.684,-120.342,-0.2408114242081311
332,76,35.671,-120.359,-0.5649194071086252
334,76,35.872,-120.422,0.8396339906714796
335,76,35.896,-120.398,-0.3049039910379278
336,76,35.899,-120.433,0.5127447060721098
337,76,35.908,-120.458,2.2820026344052824
338,76,35.921,-120.481,1.0949120752148795
339,76,35.927,-120.456,0.5447722927384374
340,76,35.787,-120.334,1.115367055333971
341,76,35.803,-120.334,0.6120913175990405
342,76,35.836,-120.395,-0.0392439606217008
343,76,35.859,-120.42,-0.7290402397573154
344,76,35.871,-120.404,0.0742248008010814
345,76,35.878,-120.381,0.270223132308448
346,76,35.879,-120.445,-0.1424381232944414
347,76,35.818,-120.378,0.1211396847770523
348,76,35.843,-120.348,-0.3097202835495285
349,76,35.812,-120.391,-0.3362701624000496
350,76,35.87,-120.334,-0.4731057678265281
