model,scale,PSD_count,n,min_eigenvalue_worst,min_eigenvalue_median,min_eigenvalue_best
GH08,correlation,0,40,-0.12147169792275457,-0.09472090200870677,-0.06606811791560012
GH08,covariance,0,40,-0.15801559709521779,-0.12326527977498088,-0.08583449830122253
Pairwise fit,correlation,2,40,-0.7433317928595238,-0.10158261588329395,0.0018907625473715169
Pairwise fit,covariance,2,40,-0.807517952011762,-0.12698950648949905,0.0024476114676644178
