display_name,model,n_events,rep,rmse
Pairwise empirical semivariogram,pairwise,40,87,0.0591767262674468
Pairwise empirical semivariogram,pairwise,40,88,0.0370655868151905
Pairwise empirical semivariogram,pairwise,40,89,0.0332608005540739
Pairwise empirical semivariogram,pairwise,40,90,0.0395828253114204
Pairwise empirical semivariogram,pairwise,40,91,0.0679234671079664
Pairwise empirical semivariogram,pairwise,40,92,0.0417839168158601
Pairwise empirical semivariogram,pairwise,40,93,0.0440012963001009
Pairwise empirical semivariogram,pairwise,40,94,0.0391639174599523
Pairwise empirical semivariogram,pairwise,40,95,0.0343474363860823
Pairwise empirical semivariogram,pairwise,40,96,0.0233645129245323
Pairwise empirical semivariogram,pairwise,40,97,0.040117843010195
Pairwise empirical semivariogram,pairwise,40,98,0.0212066239139647
Pairwise empirical semivariogram,pairwise,40,99,0.0361749740535821
Pairwise empirical semivariogram,pairwise,60,0,0.0509712687460028
Pairwise empirical semivariogram,pairwise,60,1,0.0219416204184583
Pairwise empirical semivariogram,pairwise,60,2,0.0297813813972596
Pairwise empirical semivariogram,pairwise,60,3,0.0217792250938729
Pairwise empirical semivariogram,pairwise,60,4,0.0316892771792404
Pairwise empirical semivariogram,pairwise,60,5,0.0314014504744412
Pairwise empirical semivariogram,pairwise,60,6,0.0249488635750281
Pairwise empirical semivariogram,pairwise,60,7,0.0362937834338468
Pairwise empirical semivariogram,pairwise,60,8,0.0317341820643988
Pairwise empirical semivariogram,pairwise,60,9,0.0281608833470475
Pairwise empirical semivariogram,pairwise,60,10,0.0544079993246771
Pairwise empirical semivariogram,pairwise,60,11,0.0461512773878977
Pairwise empirical semivariogram,pairwise,60,12,0.0660322859240106
Pairwise empirical semivariogram,pairwise,60,13,0.0397512243938769
Pairwise empirical semivariogram,pairwise,60,14,0.0438318860378604
Pairwise empirical semivariogram,pairwise,60,15,0.0205836642589562
Pairwise empirical semivariogram,pairwise,60,16,0.0315142759772396
Pairwise empirical semivariogram,pairwise,60,17,0.0322680743374001
Pairwise empirical semivariogram,pairwise,60,18,0.0264668167036904
Pairwise empirical semivariogram,pairwise,60,19,0.0237890550102988
Pairwise empirical semivariogram,pairwise,60,20,0.0215202967678548
Pairwise empirical semivariogram,pairwise,60,21,0.0208436087393607
Pairwise empirical semivariogram,pairwise,60,22,0.051284575214015
Pairwise empirical semivariogram,pairwise,60,23,0.051786448244541
Pairwise empirical semivariogram,pairwise,60,24,0.0194047774109853
Pairwise empirical semivariogram,pairwise,60,25,0.0233731853895145
Pairwise empirical semivariogram,pairwise,60,26,0.0335357840428551
