method,log_likelihood,pseudo_rmse,pseudo_crps,station_rmse,station_crps,period_rmse,period_crps
Kronecker semivariogram,-27347.17059643979,0.3715435736503363,0.183785585310497,0.7991037727103977,0.4341778853940932,0.4255941559822776,0.2060858939099696
PCA MLE,-25005.973823905533,0.3680590457785446,0.1816741506826058,0.7947770424462054,0.4319299849709981,0.422420724297643,0.204499031692815
PCA semivariogram,-25992.745889039703,0.3706982608445444,0.1834893322559268,0.797753280616956,0.4333432691704048,0.4281820823170073,0.2078260409981498
LMC block MLE,-24260.028170630743,0.3616418272011174,0.1780699913473851,0.7923389391157579,0.429744381239153,0.4186421116646379,0.2028995262323752
LMC semivariogram,-24913.403470943133,0.3667024385466979,0.1810001745024574,0.7956624349113567,0.4316935513843998,0.4291022891740264,0.209601729624937
