method,eqid,log_likelihood,n,fit_success,nearest_psd_used,min_eigenvalue_before_repair,n_observations
PCA semivariogram,1038,-341.0822197638228,711.0,,,,
PCA semivariogram,1045,-246.7696694727045,360.0,,,,
PCA semivariogram,1064,-481.6449652762146,693.0,,,,
PCA semivariogram,1066,-443.7093650092671,792.0,,,,
PCA semivariogram,1068,-373.039198127097,459.0,,,,
PCA semivariogram,1075,-212.7269420130997,441.0,,,,
PCA semivariogram,1128,-230.9681611625584,378.0,,,,
PCA semivariogram,118,-380.8956616519232,549.0,,,,
PCA semivariogram,125,-210.39475091347248,603.0,,,,
PCA semivariogram,127,-294.03895789609675,522.0,,,,
PCA semivariogram,137,-1239.802400528136,3186.0,,,,
PCA semivariogram,158,-440.5517783568852,1098.0,,,,
PCA semivariogram,163,-305.4553327624014,621.0,,,,
PCA semivariogram,170,-297.2330184087561,558.0,,,,
PCA semivariogram,172,-919.487051492895,2115.0,,,,
PCA semivariogram,173,-784.2343976109676,2097.0,,,,
PCA semivariogram,174,-1109.809492057923,2241.0,,,,
PCA semivariogram,175,-934.0296456355644,2475.0,,,,
PCA semivariogram,176,-1835.1114189569823,3006.0,,,,
PCA semivariogram,177,-204.11396265001227,558.0,,,,
PCA semivariogram,179,-745.0596552673509,873.0,,,,
PCA semivariogram,180,-2319.224340214982,4176.0,,,,
PCA semivariogram,274,-325.9902506593031,405.0,,,,
PCA semivariogram,278,-2378.8820624017394,4851.0,,,,
PCA semivariogram,279,-1851.6592051135483,2907.0,,,,
PCA semivariogram,280,-1367.1888796374308,2556.0,,,,
PCA semivariogram,281,-421.8428251728115,603.0,,,,
PCA semivariogram,346,-417.53207820976064,549.0,,,,
LMC block MLE,1001,-178.36380318580615,351.0,,,,
LMC block MLE,1002,-212.29995293766365,585.0,,,,
LMC block MLE,1003,-164.96511430308496,369.0,,,,
LMC block MLE,1006,-451.01923041456087,783.0,,,,
LMC block MLE,1007,-343.9547905083411,684.0,,,,
LMC block MLE,1011,-226.2169784694436,423.0,,,,
LMC block MLE,1012,-421.29512499385066,1062.0,,,,
LMC block MLE,1014,-424.4740308587906,1143.0,,,,
LMC block MLE,1015,-375.3665886916725,810.0,,,,
LMC block MLE,1016,-462.820894479686,990.0,,,,
LMC block MLE,1018,-628.4199198901503,1161.0,,,,
LMC block MLE,1019,-401.851870816223,864.0,,,,
LMC block MLE,1031,-160.71998284256586,387.0,,,,
LMC block MLE,1038,-329.35800290695806,711.0,,,,
LMC block MLE,1045,-223.56643701173687,360.0,,,,
LMC block MLE,1064,-454.2779822612331,693.0,,,,
LMC block MLE,1066,-413.10196293644645,792.0,,,,
LMC block MLE,1068,-340.2671943295388,459.0,,,,
LMC block MLE,1075,-208.9031150490066,441.0,,,,
LMC block MLE,1128,-232.909304108906,378.0,,,,
LMC block MLE,118,-359.4222183414606,549.0,,,,
LMC block MLE,125,-222.4443578367361,603.0,,,,
LMC block MLE,127,-286.7831719561167,522.0,,,,
LMC block MLE,137,-1237.3755988152236,3186.0,,,,
LMC block MLE,158,-474.871065639812,1098.0,,,,
LMC block MLE,163,-294.87879343994393,621.0,,,,
LMC block MLE,170,-260.75902314709253,558.0,,,,
LMC block MLE,172,-909.9165372716866,2115.0,,,,
LMC block MLE,173,-738.0825548624665,2097.0,,,,
LMC block MLE,174,-976.672305812442,2241.0,,,,
