method,eqid,n_stations,n_observations,log_likelihood,fit_success,nearest_psd_used,min_eigenvalue_before_repair
Kronecker semivariogram,1011,169,1374,-686.5958910540285,True,False,0.0008475553255632
LMC block MLE,1011,169,1374,-623.6595626608951,True,False,0.0029325947471223
LMC semivariogram,1011,169,1374,-634.2391953680204,True,False,0.002790722986028
PCA semivariogram,1045,161,1250,-690.4360652439057,True,False,0.0016313403384953
PCA MLE,1045,161,1250,-668.5258933487235,True,False,0.0018355303967876
Kronecker semivariogram,1045,161,1250,-708.7927360595469,True,False,0.001242318795504
LMC block MLE,1045,161,1250,-634.548551093169,True,False,0.0032556451970799
LMC semivariogram,1045,161,1250,-631.5101933611488,True,False,0.0029360576223697
PCA semivariogram,1001,155,1227,-645.8019057810541,True,False,0.0021960316277938
PCA MLE,1001,155,1227,-651.6860302560655,True,False,0.0019376742024739
Kronecker semivariogram,1001,155,1227,-688.7644365637896,True,False,0.0015127971748594
LMC block MLE,1001,155,1227,-637.1298820272509,True,False,0.0034565298440012
LMC semivariogram,1001,155,1227,-628.1827300564661,True,False,0.0029927847873139
PCA semivariogram,1221,154,1126,-537.671961347114,True,False,0.0020259998981662
PCA MLE,1221,154,1126,-527.7044793100737,True,False,0.0019092034690817
Kronecker semivariogram,1221,154,1126,-539.0611175202529,True,False,0.0014366984219248
LMC block MLE,1221,154,1126,-491.96973261811945,True,False,0.003401194080366
LMC semivariogram,1221,154,1126,-493.7097617737189,True,False,0.0029815888960214
PCA semivariogram,127,147,1211,-602.855851709857,True,False,0.0002470084388272
PCA MLE,127,147,1211,-581.4386026908529,True,False,0.0013875679725129
Kronecker semivariogram,127,147,1211,-673.9520370022788,True,False,0.0004414044901042
LMC block MLE,127,147,1211,-622.1022180557428,True,False,0.0025292972537549
LMC semivariogram,127,147,1211,-594.828571302136,True,False,0.0026147728384985
PCA semivariogram,1014,139,1236,-503.5336720113702,True,False,0.0005132962504271
PCA MLE,1014,139,1236,-478.50213243775255,True,False,0.0015444536676343
Kronecker semivariogram,1014,139,1236,-582.3248539552823,True,False,0.000640426141908
LMC block MLE,1014,139,1236,-520.3720643036904,True,False,0.0027415894710641
LMC semivariogram,1014,139,1236,-528.0828442209215,True,False,0.0027121242766488
PCA semivariogram,1021,138,1037,-289.2328021297141,True,False,0.0009852723452741
PCA MLE,1021,138,1037,-289.37768129185224,True,False,0.0016885347345304
Kronecker semivariogram,1021,138,1037,-320.67988712508475,True,False,0.0009065109841336
LMC block MLE,1021,138,1037,-331.6786546307427,True,False,0.002984336534606
LMC semivariogram,1021,138,1037,-318.4538117479947,True,False,0.0028438131262441
PCA semivariogram,1051,134,977,-447.9649375875007,True,False,0.0021399200227857
PCA MLE,1051,134,977,-439.4734914066437,True,False,0.0019308251982949
Kronecker semivariogram,1051,134,977,-450.59425959575947,True,False,0.0015013789833961
LMC block MLE,1051,134,977,-432.8527786514322,True,False,0.0034463681352922
LMC semivariogram,1051,134,977,-424.539339429315,True,False,0.0029897662004725
PCA semivariogram,1003,126,1043,-581.6446653716094,True,False,0.0001163943656292
PCA MLE,1003,126,1043,-581.6924789729127,True,False,0.0012209410076512
Kronecker semivariogram,1003,126,1043,-545.2670356069203,True,False,0.0002859437151771
LMC block MLE,1003,126,1043,-540.6350383532442,True,False,0.0023324016659945
LMC semivariogram,1003,126,1043,-552.490873395948,True,False,0.0025061685956484
PCA semivariogram,1012,126,1125,-490.7914983672508,True,False,0.0005132751373468
PCA MLE,1012,126,1125,-469.0161717059048,True,False,0.0015444213165891
Kronecker semivariogram,1012,126,1125,-572.1819375112644,True,False,0.0006403974818867
LMC block MLE,1012,126,1125,-501.7036181424812,True,False,0.0027415571573259
LMC semivariogram,1012,126,1125,-512.8429125640338,True,False,0.0027106053820737
PCA semivariogram,179,125,1081,-1087.235758093377,True,False,0.0002329171233061
PCA MLE,179,125,1081,-972.6365123194972,True,False,0.0013720305386207
Kronecker semivariogram,179,125,1081,-1236.1062549251517,True,False,0.0004214547831735
LMC block MLE,179,125,1081,-848.8029454369881,True,False,0.0025050715262689
LMC semivariogram,179,125,1081,-837.7759940944189,True,False,0.0026030549862318
PCA semivariogram,158,125,1122,-454.8338259053647,True,False,0.0013266615805833
PCA MLE,158,125,1122,-467.2831894540255,True,False,0.001769931655809
Kronecker semivariogram,158,125,1122,-511.7310606741113,True,False,0.0010778361827715
LMC block MLE,158,125,1122,-540.8905263494975,True,False,0.0031261209346765
LMC semivariogram,158,125,1122,-519.4182205883734,True,False,0.0028673443062711
PCA semivariogram,1015,122,1064,-562.5541367170583,True,False,0.0005871621570825
PCA MLE,1015,122,1064,-507.0031989440236,True,False,0.0015593516721486
Kronecker semivariogram,1015,122,1064,-545.0589382212218,True,False,0.0006748000233229
LMC block MLE,1015,122,1064,-512.0534312894451,True,False,0.0027711697336254
LMC semivariogram,1015,122,1064,-513.4224938478599,True,False,0.0027236748061794
PCA semivariogram,1101,119,831,-398.68966616626926,True,False,0.0021969465248802
PCA MLE,1101,119,831,-383.9360738733831,True,False,0.001938746042961
Kronecker semivariogram,1101,119,831,-395.5534641249698,True,False,0.0015166271394269
LMC block MLE,1101,119,831,-354.43862852337185,True,False,0.0034603947215526
LMC semivariogram,1101,119,831,-359.8148110892382,True,False,0.0030048208825454
PCA semivariogram,1016,118,1052,-512.5280860183267,True,False,0.0019512916386036
PCA MLE,1016,118,1052,-507.0096681359284,True,False,0.0018965061131642
Kronecker semivariogram,1016,118,1052,-537.1252202977048,True,False,0.0014048766604624
LMC block MLE,1016,118,1052,-530.4747162309735,True,False,0.0033759461449149
LMC semivariogram,1016,118,1052,-529.2985781044274,True,False,0.0029638943937509
PCA semivariogram,167,118,879,-368.5649578495297,True,False,0.0001939924348924
PCA MLE,167,118,879,-359.3390717750302,True,False,0.0013201948052361
Kronecker semivariogram,167,118,879,-351.633825058166,True,False,0.0003736532933768
LMC block MLE,167,118,879,-359.984717534124,True,False,0.0024518208330387
LMC semivariogram,167,118,879,-358.25830632369167,True,False,0.0026758103082545
PCA semivariogram,1006,118,1025,-608.2335151424782,True,False,0.00303803755738
PCA MLE,1006,118,1025,-632.4585388165079,True,False,0.0022070510202131
Kronecker semivariogram,1006,118,1025,-566.1467407041666,True,False,0.0025655682784719
LMC block MLE,1006,118,1025,-548.4422811248318,True,False,0.004125718947081
LMC semivariogram,1006,118,1025,-578.9983393453492,True,False,0.0032726492248832
PCA semivariogram,1125,117,788,-273.5874668852386,True,False,0.0021961361785433
PCA MLE,1125,117,788,-261.28448404043564,True,False,0.0019379701610645
Kronecker semivariogram,1125,117,788,-291.2574123012435,True,False,0.0015140474303396
LMC block MLE,1125,117,788,-269.65689095599794,True,False,0.0034587136683088
LMC semivariogram,1125,117,788,-261.33974022633174,True,False,0.0030048777079485
PCA semivariogram,1060,112,832,-505.810547341285,True,False,0.0021962878841622
PCA MLE,1060,112,832,-497.608230859571,True,False,0.0019380572387987
Kronecker semivariogram,1060,112,832,-506.8038005685022,True,False,0.0015145129082935
LMC block MLE,1060,112,832,-448.4994675013712,True,False,0.0034585394266659
LMC semivariogram,1060,112,832,-452.9483541867574,True,False,0.0030012173001424
PCA semivariogram,1138,111,750,-295.8308603366602,True,False,0.002212552035941
PCA MLE,1138,111,750,-281.0442081781835,True,False,0.0019449934077106
Kronecker semivariogram,1138,111,750,-298.601578436962,True,False,0.0015425586126121
LMC block MLE,1138,111,750,-283.7489117029171,True,False,0.0034771670155134
LMC semivariogram,1138,111,750,-278.2538146634768,True,False,0.0030114479213158
PCA semivariogram,1023,110,826,-373.26850777398033,True,False,0.0015463178721682
PCA MLE,1023,110,826,-348.940316908513,True,False,0.0018186715703747
Kronecker semivariogram,1023,110,826,-387.2295732374138,True,False,0.0012009014003578
LMC block MLE,1023,110,826,-354.1136064200393,True,False,0.0032231343290245
LMC semivariogram,1023,110,826,-353.048143853217,True,False,0.002921362200405
PCA semivariogram,1050,109,810,-264.33515413082085,True,False,0.0022125329788865
PCA MLE,1050,109,810,-266.57100678943965,True,False,0.0019451908799185
Kronecker semivariogram,1050,109,810,-291.1309164153864,True,False,0.0015434663289771
LMC block MLE,1050,109,810,-296.79467070245505,True,False,0.0034777647466276
LMC semivariogram,1050,109,810,-288.5440233281993,True,False,0.0030117267351081
