method,eqid,n_stations,n_observations,log_likelihood,fit_success,nearest_psd_used,min_eigenvalue_before_repair
LMC semivariogram,1128,74,625,-356.17286054337785,True,False,0.0033375768946325
PCA semivariogram,1043,73,511,-133.44328465567853,True,False,0.0024555361108237
PCA MLE,1043,73,511,-127.88530087264384,True,False,0.001983520368886
Kronecker semivariogram,1043,73,511,-151.41305027800576,True,False,0.001653889598698
LMC block MLE,1043,73,511,-144.0369235781382,True,False,0.0035564517042335
LMC semivariogram,1043,73,511,-140.4828274782802,True,False,0.0030385539648478
PCA semivariogram,1095,71,496,-285.20693631231524,True,False,0.0030873203147648
PCA MLE,1095,71,496,-279.48786665369147,True,False,0.0023483945884637
Kronecker semivariogram,1095,71,496,-249.9310996322367,True,False,0.0032789783744918
LMC block MLE,1095,71,496,-247.5889481904081,True,False,0.0045394400062797
LMC semivariogram,1095,71,496,-250.96389279314664,True,False,0.0034863730881062
PCA semivariogram,1030,70,529,-141.59720920221943,True,False,0.0026832451722361
PCA MLE,1030,70,529,-142.82290127127806,True,False,0.0020350525124602
Kronecker semivariogram,1030,70,529,-162.82026962033171,True,False,0.0018331034938264
LMC block MLE,1030,70,529,-169.82209481662406,True,False,0.0036752679895869
LMC semivariogram,1030,70,529,-164.85965541431892,True,False,0.0030771710443444
PCA semivariogram,1054,70,490,-312.0616132079376,True,False,0.0029389172506048
PCA MLE,1054,70,490,-310.69882616608965,True,False,0.00214194552006
Kronecker semivariogram,1054,70,490,-255.85519547484037,True,False,0.0022759794944919
LMC block MLE,1054,70,490,-260.0493641604842,True,False,0.003952552814545
LMC semivariogram,1054,70,490,-270.4210828007273,True,False,0.0031986218840017
PCA semivariogram,118,70,613,-420.0397356568077,True,False,0.0005022552897763
PCA MLE,118,70,613,-393.6580902505075,True,False,0.0015232124824217
Kronecker semivariogram,118,70,613,-438.1531946935138,True,False,0.0006204158136895
LMC block MLE,118,70,613,-396.5426719290887,True,False,0.0027171984035533
LMC semivariogram,118,70,613,-385.62160015189846,True,False,0.0027004401230122
PCA semivariogram,114,69,479,-178.54755310881842,True,False,0.0026287546377241
PCA MLE,114,69,479,-170.64733845435023,True,False,0.0020310418558449
Kronecker semivariogram,114,69,479,-174.91404348528093,True,False,0.0018266403564926
LMC block MLE,114,69,479,-181.41311083025536,True,False,0.0036703587957159
LMC semivariogram,114,69,479,-175.63827718727225,True,False,0.0030818771120781
PCA semivariogram,1103,69,481,-608.5929592528547,True,False,0.0001163955663879
PCA MLE,1103,69,481,-602.3352303235395,True,False,0.0012209454818717
Kronecker semivariogram,1103,69,481,-469.5459748678853,True,False,0.0002859601606349
LMC block MLE,1103,69,481,-404.5364844777792,True,False,0.0023412743392039
LMC semivariogram,1103,69,481,-441.2344784635896,True,False,0.0026079671479847
PCA semivariogram,1160,68,467,-281.7202598411375,True,False,0.0027503933662201
PCA MLE,1160,68,467,-277.78010638374764,True,False,0.0020620235598369
Kronecker semivariogram,1160,68,467,-237.91420224065791,True,False,0.0019401265973612
LMC block MLE,1160,68,467,-231.1099676413908,True,False,0.0037442102488096
LMC semivariogram,1160,68,467,-233.02844394171177,True,False,0.0031103213077909
PCA semivariogram,1086,68,525,-459.56088690798526,True,False,0.0018334221614842
PCA MLE,1086,68,525,-466.19503594830377,True,False,0.0018766764763265
Kronecker semivariogram,1086,68,525,-383.9597083225266,True,False,0.001356751604025
LMC block MLE,1086,68,525,-368.99248355062,True,False,0.0033402035438747
LMC semivariogram,1086,68,525,-391.7125942842428,True,False,0.0029633033126921
PCA semivariogram,1049,67,467,-212.9685494139433,True,False,0.0016313462602713
PCA MLE,1049,67,467,-215.43531463492317,True,False,0.0018359290807702
Kronecker semivariogram,1049,67,467,-209.0897319392232,True,False,0.0012446287713931
LMC block MLE,1049,67,467,-211.78188420229645,True,False,0.0032570885513845
LMC semivariogram,1049,67,467,-207.43175419461332,True,False,0.0029367709567374
PCA semivariogram,1094,66,462,-263.7011454688775,True,False,0.0030875434435047
PCA MLE,1094,66,462,-255.2894874844987,True,False,0.0024196275410252
Kronecker semivariogram,1094,66,462,-239.0640849946301,True,False,0.0036874210890586
LMC block MLE,1094,66,462,-238.1212425239604,True,False,0.0047689371726996
LMC semivariogram,1094,66,462,-240.8976536607881,True,False,0.0036273287627708
PCA semivariogram,177,65,581,-213.55616101153456,True,False,0.0004408722090632
PCA MLE,177,65,581,-215.38248787258547,True,False,0.001493697724771
Kronecker semivariogram,177,65,581,-232.18431939903883,True,False,0.0005780669341127
LMC block MLE,177,65,581,-257.4220264847643,True,False,0.0026741183882648
LMC semivariogram,177,65,581,-248.3427870139421,True,False,0.0026814645235657
PCA semivariogram,1076,65,503,-366.69847377137006,True,False,0.0030870939763367
PCA MLE,1076,65,503,-343.769890004844,True,False,0.0023431449827194
Kronecker semivariogram,1076,65,503,-326.3661453020217,True,False,0.0032437127074982
LMC block MLE,1076,65,503,-310.2013318712997,True,False,0.0045173961436388
LMC semivariogram,1076,65,503,-317.8520085955433,True,False,0.0034696854528809
PCA semivariogram,1135,65,446,-329.9566406277167,True,False,0.0027838670282224
PCA MLE,1135,65,446,-324.9006426697177,True,False,0.0020866671452371
Kronecker semivariogram,1135,65,446,-247.8860674379881,True,False,0.0020572779421864
LMC block MLE,1135,65,446,-242.21983718899307,True,False,0.0038157393193157
LMC semivariogram,1135,65,446,-255.40861749989156,True,False,0.0031436554537847
PCA semivariogram,1132,63,439,-450.719471352922,True,False,0.0026785546445343
PCA MLE,1132,63,439,-469.6025112720061,True,False,0.0020543825457954
Kronecker semivariogram,1132,63,439,-320.0236373189664,True,False,0.0019289988974967
LMC block MLE,1132,63,439,-309.86901907044194,True,False,0.0037341405833871
LMC semivariogram,1132,63,439,-343.5026492188005,True,False,0.0031093452194256
PCA semivariogram,1178,62,434,-305.40006598272595,True,False,0.0030876125726504
PCA MLE,1178,62,434,-298.51982652270505,True,False,0.0024485098198276
Kronecker semivariogram,1178,62,434,-255.829158186372,True,False,0.003861373101085
LMC block MLE,1178,62,434,-252.4104773991647,True,False,0.0048715561029379
LMC semivariogram,1178,62,434,-263.0260139575806,True,False,0.0037033980018432
PCA semivariogram,1062,62,481,-408.4685172570384,True,False,0.0030668188042422
PCA MLE,1062,62,481,-399.77667460351137,True,False,0.0022508151360562
Kronecker semivariogram,1062,62,481,-327.8088335922617,True,False,0.0027781989973246
LMC block MLE,1062,62,481,-317.03475329786545,True,False,0.004251200207892
LMC semivariogram,1062,62,481,-334.4827603745529,True,False,0.0033365117207329
PCA semivariogram,1110,61,426,-456.3289932679937,True,False,0.0030669351589234
PCA MLE,1110,61,426,-458.3167774915006,True,False,0.0022526896733121
Kronecker semivariogram,1110,61,426,-345.3876021672245,True,False,0.0027894943197757
LMC block MLE,1110,61,426,-320.679845986271,True,False,0.0042586429162802
LMC semivariogram,1110,61,426,-353.7223039033877,True,False,0.0033425413957024
PCA semivariogram,1013,61,425,-205.89508571946493,True,False,0.0029964881379735
PCA MLE,1013,61,425,-214.6426815310266,True,False,0.0021663278073894
Kronecker semivariogram,1013,61,425,-186.18527972276843,True,False,0.0023705180635036
LMC block MLE,1013,61,425,-187.11988647843725,True,False,0.0040112518095857
LMC semivariogram,1013,61,425,-189.45923839819244,True,False,0.0032212121618122
PCA semivariogram,1154,60,410,-387.4353867709873,True,False,0.0001163955664555
PCA MLE,1154,60,410,-385.1991820533825,True,False,0.0012209455334804
Kronecker semivariogram,1154,60,410,-309.0691434509304,True,False,0.0002859605049528
LMC block MLE,1154,60,410,-291.3590944440622,True,False,0.0023412746257223
LMC semivariogram,1154,60,410,-310.49291098173586,True,False,0.0026079673280039
PCA semivariogram,1134,60,417,-475.0966566140651,True,False,0.0018334239173814
PCA MLE,1134,60,417,-493.2996990427408,True,False,0.0018766915254208
Kronecker semivariogram,1134,60,417,-350.4037418061775,True,False,0.0013568016642967
LMC block MLE,1134,60,417,-319.13341718171364,True,False,0.0033404941972221
LMC semivariogram,1134,60,417,-359.09427165386313,True,False,0.0029658541571876
PCA semivariogram,1052,60,463,-1096.002046834097,True,False,0.0001163943661581
PCA MLE,1052,60,463,-908.5653740449538,True,False,0.001220941070853
Kronecker semivariogram,1052,60,463,-715.399705837232,True,False,0.0002859440516049
LMC block MLE,1052,60,463,-563.9116544297087,True,False,0.0023324019811535
LMC semivariogram,1052,60,463,-642.4567559622245,True,False,0.0025061688912846
PCA semivariogram,151,59,349,-112.15343405038628,True,False,0.0005193417475788
PCA MLE,151,59,349,-108.50123593525774,True,False,0.0015314750814338
Kronecker semivariogram,151,59,349,-129.94473947396804,True,False,0.0006333889871009
LMC block MLE,151,59,349,-118.7854149593461,True,False,0.0027340882222662
LMC semivariogram,151,59,349,-112.06289348952323,True,False,0.0027840706490433
PCA semivariogram,1146,58,404,-531.6880436627018,True,False,0.0030669347475175
PCA MLE,1146,58,404,-543.2076557793118,True,False,0.0022509392962398
Kronecker semivariogram,1146,58,404,-374.6965134656329,True,False,0.0027782504127074
LMC block MLE,1146,58,404,-355.3948915672832,True,False,0.0042516578402879
LMC semivariogram,1146,58,404,-392.71841277812166,True,False,0.0033370672196776
PCA semivariogram,1097,56,385,-175.3711303386179,True,False,0.002761818465918
PCA MLE,1097,56,385,-167.7402691783621,True,False,0.0020780216135991
Kronecker semivariogram,1097,56,385,-177.7691450258301,True,False,0.0020191547482345
LMC block MLE,1097,56,385,-169.4713925922994,True,False,0.0037919861151471
LMC semivariogram,1097,56,385,-169.44844040787854,True,False,0.0031325697774842
PCA semivariogram,1081,55,379,-316.84339302639023,True,False,0.0027548093215556
PCA MLE,1081,55,379,-322.23870346575643,True,False,0.002075746995173
Kronecker semivariogram,1081,55,379,-271.16979337998765,True,False,0.0020098487704369
LMC block MLE,1081,55,379,-264.619507422503,True,False,0.0037860416538286
LMC semivariogram,1081,55,379,-271.23630708386327,True,False,0.0031298715553268
PCA semivariogram,1085,54,422,-365.9152630005608,True,False,0.0030873356422372
PCA MLE,1085,54,422,-362.5866724636284,True,False,0.0024175451206078
Kronecker semivariogram,1085,54,422,-314.762515123595,True,False,0.0036753803341607
LMC block MLE,1085,54,422,-299.1614921285048,True,False,0.0047612357405131
LMC semivariogram,1085,54,422,-307.1238712572169,True,False,0.0036204037698303
PCA semivariogram,1068,53,475,-376.8121348544678,True,False,0.0030849882550061
PCA MLE,1068,53,475,-347.8294345705351,True,False,0.0023423727209189
Kronecker semivariogram,1068,53,475,-328.17319874056216,True,False,0.0032645742251909
LMC block MLE,1068,53,475,-321.22751641081777,True,False,0.0045318892613883
LMC semivariogram,1068,53,475,-329.5863420147846,True,False,0.0034915946787284
PCA semivariogram,1139,52,364,-565.1207986152504,True,False,0.0001163955664471
PCA MLE,1139,52,364,-582.5204043192491,True,False,0.0012209455383053
Kronecker semivariogram,1139,52,364,-420.3018307453397,True,False,0.0002859604816908
LMC block MLE,1139,52,364,-370.4750710629282,True,False,0.0023412746232945
LMC semivariogram,1139,52,364,-415.9908840374268,True,False,0.0026079673150791
PCA semivariogram,1033,51,357,-137.68987990856783,True,False,0.0015121658955717
PCA MLE,1033,51,357,-129.15936078498257,True,False,0.0018115792608906
Kronecker semivariogram,1033,51,357,-145.3167987024786,True,False,0.0011830656648478
LMC block MLE,1033,51,357,-139.5593261278642,True,False,0.0032097376546879
LMC semivariogram,1033,51,357,-134.45694340195115,True,False,0.0029211217809446
PCA semivariogram,1089,50,349,-577.6860873101306,True,False,0.0030669352991779
PCA MLE,1089,50,349,-591.7986039393581,True,False,0.0022527575744442
Kronecker semivariogram,1089,50,349,-387.7536813460097,True,False,0.0027900542354949
LMC block MLE,1089,50,349,-362.9942760561632,True,False,0.0042588966938198
LMC semivariogram,1089,50,349,-395.7870821685853,True,False,0.003342697650634
PCA semivariogram,1264,50,347,-647.966341209406,True,False,0.0001163955664611
PCA MLE,1264,50,347,-648.2499763635753,True,False,0.0012209455378552
Kronecker semivariogram,1264,50,347,-420.5448949854959,True,False,0.0002859605289332
LMC block MLE,1264,50,347,-395.9365545055492,True,False,0.0023412746489923
LMC semivariogram,1264,50,347,-440.21228311969656,True,False,0.0026079673459713
PCA semivariogram,1131,50,340,-507.3764268051776,True,False,0.0001163955666008
PCA MLE,1131,50,340,-541.2250103279287,True,False,0.0012209456045383
Kronecker semivariogram,1131,50,340,-333.63402030674985,True,False,0.0002859612731842
LMC block MLE,1131,50,340,-319.6763474597297,True,False,0.0023412751624638
LMC semivariogram,1131,50,340,-368.5900422748077,True,False,0.0026079676806743
PCA semivariogram,1053,50,350,-129.66248956943704,True,False,0.0030875442268085
PCA MLE,1053,50,350,-129.78757486594617,True,False,0.0024199438723922
Kronecker semivariogram,1053,50,350,-136.47868134427318,True,False,0.0036892901485507
LMC block MLE,1053,50,350,-140.3121105093898,True,False,0.0047705781891367
LMC semivariogram,1053,50,350,-140.04938858819315,True,False,0.003629537338309
PCA semivariogram,1034,50,350,-280.0402690243826,True,False,0.0030821992529735
PCA MLE,1034,50,350,-276.1605576125149,True,False,0.0022875274225502
Kronecker semivariogram,1034,50,350,-207.6578988371976,True,False,0.0029530140588909
LMC block MLE,1034,50,350,-203.79710528327627,True,False,0.0043531568495254
LMC semivariogram,1034,50,350,-214.2656772204965,True,False,0.0033851273005565
PCA semivariogram,1190,49,343,-128.74467292669817,True,False,0.0030876351850335
PCA MLE,1190,49,343,-127.4823400314782,True,False,0.0024578843458937
Kronecker semivariogram,1190,49,343,-133.13831905250737,True,False,0.0039223478978337
LMC block MLE,1190,49,343,-136.20981113864443,True,False,0.0049111859365707
LMC semivariogram,1190,49,343,-134.18954561200192,True,False,0.0037433468018919
PCA semivariogram,1163,49,341,-276.2029956257249,True,False,0.0001165848613861
PCA MLE,1163,49,341,-264.9693658471625,True,False,0.0012212568872234
Kronecker semivariogram,1163,49,341,-219.9757908565888,True,False,0.0002868052600302
LMC block MLE,1163,49,341,-212.40770601497383,True,False,0.0023413808851154
LMC semivariogram,1163,49,341,-223.5841096123527,True,False,0.0026159610018416
PCA semivariogram,1099,48,333,-184.04252227072084,True,False,0.0027618183644939
PCA MLE,1099,48,333,-182.31394836832507,True,False,0.0020775279830249
Kronecker semivariogram,1099,48,333,-170.1740492654427,True,False,0.0020161824248371
LMC block MLE,1099,48,333,-165.4065998336137,True,False,0.0037901783362165
LMC semivariogram,1099,48,333,-168.05195891209502,True,False,0.0031314780821269
PCA semivariogram,1124,48,287,-139.43126433059186,True,False,0.0025591544621181
PCA MLE,1124,48,287,-134.5437877174038,True,False,0.0020354593998399
Kronecker semivariogram,1124,48,287,-135.6493873444342,True,False,0.0018608239562469
LMC block MLE,1124,48,287,-129.72053683538476,True,False,0.0037115503927429
LMC semivariogram,1124,48,287,-127.47874229667212,True,False,0.0031189785369124
PCA semivariogram,1161,48,285,-185.09655153026503,True,False,0.0030090445776892
PCA MLE,1161,48,285,-188.57032769716736,True,False,0.0021698372646753
Kronecker semivariogram,1161,48,285,-153.0958085832162,True,False,0.0023855038693974
LMC block MLE,1161,48,285,-151.2423927761216,True,False,0.0040241491063148
LMC semivariogram,1161,48,285,-156.5553258794102,True,False,0.0032326762577017
PCA semivariogram,274,47,421,-340.540830372205,True,False,0.0008032869822721
PCA MLE,274,47,421,-301.09657514869457,True,False,0.0016481283562983
Kronecker semivariogram,274,47,421,-377.4196393860586,True,False,0.0008144407264729
LMC block MLE,274,47,421,-266.77500911230777,True,False,0.0029055723939055
LMC semivariogram,274,47,421,-276.18345371017347,True,False,0.0027793476516773
PCA semivariogram,1027,47,329,-207.82245869902167,True,False,0.0030822003878582
PCA MLE,1027,47,329,-210.16535095439215,True,False,0.0022893913705478
Kronecker semivariogram,1027,47,329,-161.40272446563088,True,False,0.0029642762501519
LMC block MLE,1027,47,329,-161.33511385357338,True,False,0.0043600215880712
LMC semivariogram,1027,47,329,-167.28614030099766,True,False,0.0033900027760026
PCA semivariogram,1100,47,329,-109.54235194522587,True,False,0.0013167275315614
PCA MLE,1100,47,329,-111.68922312262885,True,False,0.0017692974786199
Kronecker semivariogram,1100,47,329,-123.85393006775976,True,False,0.0010807456645286
LMC block MLE,1100,47,329,-128.77001692278924,True,False,0.0031292864611671
LMC semivariogram,1100,47,329,-124.69372821417365,True,False,0.0028947415074286
PCA semivariogram,1048,46,322,-200.8487769991565,True,False,0.0030876561190133
PCA MLE,1048,46,322,-202.40044627848536,True,False,0.0024674302539763
Kronecker semivariogram,1048,46,322,-179.45708940537816,True,False,0.0039779871652983
LMC block MLE,1048,46,322,-177.55916391165718,True,False,0.004936732659802
LMC semivariogram,1048,46,322,-183.102009372892,True,False,0.0037489793123449
PCA semivariogram,126,45,315,-288.5985607187258,True,False,0.00287298059556
PCA MLE,126,45,315,-298.026231773254,True,False,0.0021039328778339
Kronecker semivariogram,126,45,315,-258.6948784393063,True,False,0.002108596129523
LMC block MLE,126,45,315,-241.6615642033931,True,False,0.0038507794363287
LMC semivariogram,126,45,315,-249.29904881856663,True,False,0.0031547030042856
PCA semivariogram,1107,44,307,-386.4630376356358,True,False,0.0001163955666225
PCA MLE,1107,44,307,-390.0623257571905,True,False,0.0012209456155472
Kronecker semivariogram,1107,44,307,-295.38986720747414,True,False,0.0002859613677492
LMC block MLE,1107,44,307,-255.73167694947333,True,False,0.0023412752428164
LMC semivariogram,1107,44,307,-284.1969851596364,True,False,0.0026079677485588
PCA semivariogram,1118,44,308,-345.44384824710846,True,False,0.0030874717426612
PCA MLE,1118,44,308,-346.11786387703137,True,False,0.002410515104708
Kronecker semivariogram,1118,44,308,-247.188744945472,True,False,0.003641794756898
LMC block MLE,1118,44,308,-234.6461172590288,True,False,0.0047481974944615
LMC semivariogram,1118,44,308,-259.05950070010533,True,False,0.0036124826910817
PCA semivariogram,1166,43,299,-166.34396145439695,True,False,0.0029093069990408
PCA MLE,1166,43,299,-157.29258067771988,True,False,0.002131070321972
Kronecker semivariogram,1166,43,299,-153.0933578203539,True,False,0.0022348731648435
LMC block MLE,1166,43,299,-150.02631665747853,True,False,0.0039269429064596
LMC semivariogram,1166,43,299,-150.15278367856166,True,False,0.0031892647597006
PCA semivariogram,1042,43,301,-206.029357031133,True,False,0.0030853320072995
PCA MLE,1042,43,301,-217.49787488900188,True,False,0.0022953111887665
Kronecker semivariogram,1042,43,301,-175.22129838287995,True,False,0.0029854961068164
LMC block MLE,1042,43,301,-164.41436003386062,True,False,0.0043711474845791
LMC semivariogram,1042,43,301,-181.279060928106,True,False,0.003390400621863
PCA semivariogram,1216,43,257,-196.9740803540328,True,False,0.0030060387774375
PCA MLE,1216,43,257,-204.252249770899,True,False,0.0021676316114892
Kronecker semivariogram,1216,43,257,-163.30899210694594,True,False,0.0023702025853786
LMC block MLE,1216,43,257,-148.8000414955755,True,False,0.0040156467963013
LMC semivariogram,1216,43,257,-161.78060565667556,True,False,0.0032279733016149
PCA semivariogram,1091,43,299,-293.98984429484506,True,False,0.0030872880463347
PCA MLE,1091,43,299,-300.860908836689,True,False,0.0023886907677445
Kronecker semivariogram,1091,43,299,-224.79851180820472,True,False,0.0035171911298419
LMC block MLE,1091,43,299,-216.6752300076052,True,False,0.0046774315468524
LMC semivariogram,1091,43,299,-235.76103662883747,True,False,0.0035819724381003
PCA semivariogram,1061,43,301,-233.66107656471848,True,False,0.0030821972242916
PCA MLE,1061,43,301,-245.73563340769877,True,False,0.0022855840267791
Kronecker semivariogram,1061,43,301,-188.78659211662395,True,False,0.0029415172689455
LMC block MLE,1061,43,301,-184.3709479725101,True,False,0.0043461373502524
LMC semivariogram,1061,43,301,-199.46123950278007,True,False,0.0033802637160976
PCA semivariogram,76,42,336,-98.29314700584924,True,False,0.00196644403416
PCA MLE,76,42,336,-97.65123459645535,True,False,0.0018919561748135
Kronecker semivariogram,76,42,336,-118.4464595285923,True,False,0.0013669758514184
LMC block MLE,76,42,336,-124.12122327520012,True,False,0.0033540420997894
LMC semivariogram,76,42,336,-119.3970744200448,True,False,0.0029533963930759
PCA semivariogram,1156,42,292,-427.37409441950734,True,False,0.0030669352995616
PCA MLE,1156,42,292,-428.6586946897233,True,False,0.0022527287496713
Kronecker semivariogram,1156,42,292,-291.2954568280029,True,False,0.0027898979566435
LMC block MLE,1156,42,292,-272.79711910987135,True,False,0.0042588119923677
LMC semivariogram,1156,42,292,-304.021814032503,True,False,0.0033426561159694
PCA semivariogram,1151,42,294,-324.442667658482,True,False,0.0030857756596738
PCA MLE,1151,42,294,-337.06831792853427,True,False,0.0023392266624321
Kronecker semivariogram,1151,42,294,-235.50193900925,True,False,0.0032411562788766
LMC block MLE,1151,42,294,-227.0976528549564,True,False,0.0045192616037786
LMC semivariogram,1151,42,294,-247.66726117778052,True,False,0.0034846531916293
PCA semivariogram,1145,42,293,-221.0083952423063,True,False,0.0030669353515506
PCA MLE,1145,42,293,-209.5979259362771,True,False,0.0022527616647837
Kronecker semivariogram,1145,42,293,-180.4953794042743,True,False,0.0027901529294015
LMC block MLE,1145,42,293,-173.86476627831192,True,False,0.0042589415501049
LMC semivariogram,1145,42,293,-181.32619557283624,True,False,0.0033427922327294
PCA semivariogram,1065,42,294,-280.09287486388126,True,False,0.003081125467644
PCA MLE,1065,42,294,-286.16544526691325,True,False,0.0022918152972046
Kronecker semivariogram,1065,42,294,-225.76380082231088,True,False,0.0029820715436103
LMC block MLE,1065,42,294,-217.94812133874868,True,False,0.0043696709179153
LMC semivariogram,1065,42,294,-232.94333480095003,True,False,0.0033964927106223
PCA semivariogram,30,41,287,-175.5263251343272,True,False,0.0029781615565118
PCA MLE,30,41,287,-179.11938385703974,True,False,0.0021537360575983
Kronecker semivariogram,30,41,287,-169.19913461104446,True,False,0.0023190777142921
LMC block MLE,30,41,287,-166.7339598051585,True,False,0.0039805084139917
LMC semivariogram,30,41,287,-165.47876310194735,True,False,0.0032103095303645
PCA semivariogram,161,41,287,-110.15073391274149,True,False,0.0013649006429677
PCA MLE,161,41,287,-105.75919787431364,True,False,0.0017779501468963
Kronecker semivariogram,161,41,287,-116.8412557184452,True,False,0.0010941064995192
LMC block MLE,161,41,287,-119.4211791936954,True,False,0.0031418781388833
LMC semivariogram,161,41,287,-113.44781959161446,True,False,0.002897961234888
PCA semivariogram,1215,41,245,-390.4760344905508,True,False,0.0030037413570532
PCA MLE,1215,41,245,-427.5870424257045,True,False,0.0021554877465159
Kronecker semivariogram,1215,41,245,-308.1882838050933,True,False,0.0023118668102352
LMC block MLE,1215,41,245,-253.9572133680597,True,False,0.0039807201568517
LMC semivariogram,1215,41,245,-305.92195582887496,True,False,0.0032115860866931
PCA semivariogram,1087,40,240,-34.10307958255105,True,False,0.0005377842883305
PCA MLE,1087,40,240,-35.474731581891334,True,False,0.0015395597206078
Kronecker semivariogram,1087,40,240,-45.185712790411344,True,False,0.0006456974685167
LMC block MLE,1087,40,240,-53.47001661912077,True,False,0.0027461882411953
LMC semivariogram,1087,40,240,-49.695755746160245,True,False,0.0027876319189845
IOX full semivariogram,278,542,4875,-2773.388647877319,True,False,0.0066925703929871
SBSS semivariogram,278,542,4875,-2391.4912340469523,True,False,0.0010532472514849
Multivariate Matern semivariogram,278,542,4875,-2558.4369067108364,True,False,0.0013810057122516
IOX full semivariogram,180,464,4176,-2613.017004914417,True,False,0.0068448520598804
SBSS semivariogram,180,464,4176,-2214.253847467884,True,False,0.0013096422850418
Multivariate Matern semivariogram,180,464,4176,-2389.766634472992,True,False,0.0016726017839275
IOX full semivariogram,137,369,3302,-1535.3494375546095,True,False,0.0068941898563824
SBSS semivariogram,137,369,3302,-1348.4560730795572,True,False,0.001391831027225
Multivariate Matern semivariogram,137,369,3302,-1429.966098734342,True,False,0.0017673187340903
IOX full semivariogram,176,338,3036,-1967.866371246129,True,False,0.0067720349539384
SBSS semivariogram,176,338,3036,-1709.3250831378205,True,False,0.0012043186861892
Multivariate Matern semivariogram,176,338,3036,-1820.308771754312,True,False,0.0015520821435872
IOX full semivariogram,279,331,2964,-1996.3598428932364,True,False,0.0067161250059635
SBSS semivariogram,279,331,2964,-1785.0687537645829,True,False,0.0011032433588366
Multivariate Matern semivariogram,279,331,2964,-1880.727933354177,True,False,0.0014374367208172
IOX full semivariogram,174,306,2695,-1269.7379565159424,True,False,0.0068974795338576
SBSS semivariogram,174,306,2695,-1178.30625025883,True,False,0.0014293236883715
Multivariate Matern semivariogram,174,306,2695,-1211.331880579737,True,False,0.0018115467567567
IOX full semivariogram,280,284,2556,-1425.0022259644763,True,False,0.0066208720360809
SBSS semivariogram,280,284,2556,-1285.1521484113578,True,False,0.0008419343375307
Multivariate Matern semivariogram,280,284,2556,-1319.649224906502,True,False,0.0011435085931103
IOX full semivariogram,171,280,2026,-792.7204914527134,True,False,0.0069287781837303
SBSS semivariogram,171,280,2026,-682.5756701944305,True,False,0.0014504745003089
Multivariate Matern semivariogram,171,280,2026,-716.6238790063417,True,False,0.0018262089173386
IOX full semivariogram,175,280,2515,-1174.3914597038313,True,False,0.0068985478603803
SBSS semivariogram,175,280,2515,-992.3283202382676,True,False,0.0014300804810882
Multivariate Matern semivariogram,175,280,2515,-1064.0109306698002,True,False,0.0018126832259297
IOX full semivariogram,1018,245,2060,-1348.3095614079098,True,False,0.0065780911879294
SBSS semivariogram,1018,245,2060,-1581.1146097056835,True,False,0.0006198869572
Multivariate Matern semivariogram,1018,245,2060,-1493.6017187721118,True,False,0.0008928141771307
IOX full semivariogram,173,238,2135,-982.5898373911796,True,False,0.0068956740379832
SBSS semivariogram,173,238,2135,-803.9687159850121,True,False,0.0014284072667635
Multivariate Matern semivariogram,173,238,2135,-880.0419101684972,True,False,0.0018105311732468
IOX full semivariogram,172,238,2138,-1008.7289720703708,True,False,0.0069835937037254
SBSS semivariogram,172,238,2138,-974.0492032992956,True,False,0.0015158833743518
Multivariate Matern semivariogram,172,238,2138,-990.7551295279582,True,False,0.001912061635515
IOX full semivariogram,1028,197,1520,-1019.2916511678064,True,False,0.0066856451649466
SBSS semivariogram,1028,197,1520,-1191.8739923007606,True,False,0.0010896539257474
Multivariate Matern semivariogram,1028,197,1520,-1086.4448384119232,True,False,0.0014029984003943
IOX full semivariogram,1019,189,1585,-831.6338517749567,True,False,0.0066851249577919
SBSS semivariogram,1019,189,1585,-801.8812261540079,True,False,0.0010690575787145
Multivariate Matern semivariogram,1019,189,1585,-768.003630739053,True,False,0.0014009416576236
IOX full semivariogram,163,186,1513,-912.6244507595612,True,False,0.0069454649733967
SBSS semivariogram,163,186,1513,-927.057539356004,True,False,0.001442499998428
Multivariate Matern semivariogram,163,186,1513,-920.6453040637166,True,False,0.0018123112124661
IOX full semivariogram,1002,184,1518,-845.1291312988241,True,False,0.0065794349503732
SBSS semivariogram,1002,184,1518,-730.7842924594538,True,False,0.0006497051969791
Multivariate Matern semivariogram,1002,184,1518,-772.8309730502251,True,False,0.0008992066356671
IOX full semivariogram,1011,169,1374,-679.167029445606,True,False,0.0067988047020352
SBSS semivariogram,1011,169,1374,-653.5856912697119,True,False,0.0012691159644131
Multivariate Matern semivariogram,1011,169,1374,-640.9482983519516,True,False,0.0016255568038124
IOX full semivariogram,1045,161,1250,-752.050151818121,True,False,0.0071176276535841
SBSS semivariogram,1045,161,1250,-641.9850549331984,True,False,0.0016030297810181
Multivariate Matern semivariogram,1045,161,1250,-674.4189221013005,True,False,0.0020091481269445
IOX full semivariogram,1001,155,1227,-710.7977656791303,True,False,0.0073547772988561
SBSS semivariogram,1001,155,1227,-636.097896355989,True,False,0.0017925107903658
Multivariate Matern semivariogram,1001,155,1227,-665.0987816437539,True,False,0.0022342363184416
IOX full semivariogram,1221,154,1126,-568.8745843288416,True,False,0.0072891380353078
SBSS semivariogram,1221,154,1126,-505.6970881298517,True,False,0.0017411422632415
Multivariate Matern semivariogram,1221,154,1126,-515.8250278034292,True,False,0.002175575349224
