eqid,_lmc_source_pos,_source_index,_lmc_selected_rank,_lmc_event_rows_available,_lmc_event_rows_selected,station_latitude,station_longitude,scaled_deltaWT001,scaled_deltaWT003,scaled_deltaWT006,scaled_deltaWT010,scaled_deltaWT030,scaled_deltaWT060,scaled_deltaWT100,scaled_deltaWT300,scaled_deltaWT600
30,0,0,0,41,41,33.801,-118.387,-1.39509584275589,-1.438342959571496,-1.5169893302652189,-1.828499005260707,-1.20963026672494,-0.9580310960569542,-0.2369705172924439,,
30,1,1,1,41,41,33.5556,-116.674,2.2901388474184974,2.3189955804420204,2.212122362993313,1.965145073010459,1.9174785166617925,1.665531283040162,0.6624533033087646,,
30,2,2,2,41,41,35.37,-119.021,-2.890762619341607,-2.861351442686364,-2.881086629088421,-3.283466639858589,-2.357222679370718,-1.7432122410824853,-1.3886282479356828,,
30,3,3,3,41,41,33.26,-116.37,0.330198955776721,0.4288717910131013,0.5209945985373721,0.4262986808769941,0.3351381248252499,0.599924041443796,0.456357066972004,,
30,4,4,4,41,41,35.16,-119.35,-1.2624932875138433,-1.303571122389509,-1.4673834881501562,-1.605896551248819,-0.1884947926299471,-1.2833556961873855,-0.8590593876343379,,
30,5,5,5,41,41,33.9121,-117.838,0.497199173906498,0.4593447398109692,0.4160400162343222,0.689929328571578,0.5352846017187047,-0.2424806041034127,-1.4280174769304352,,
30,6,6,6,41,41,34.564,-118.642,1.670050040550263,1.4696742907748923,1.236037929118193,1.178959781085086,1.1097751115830323,1.7559608230768973,1.5675247777048964,,
30,7,7,7,41,41,34.31,-117.3,0.1054613276235986,-0.028061689867196,-0.2012145661173203,-0.1251178682214321,0.9222678527854468,0.5570374437383485,0.1180886850427024,,
30,8,8,8,41,41,35.733,-120.29,-1.72739433173645,-1.6183412928671348,-0.8735151659710202,-1.0681435028830844,-2.395136816951565,-1.6979773554404003,-0.9599426943941908,,
30,9,9,9,41,41,35.671,-120.359,-0.8185587256305951,-0.8110070599585767,-0.4736761942026696,-0.903708735441126,-0.7943738964752084,-0.5868967452874768,0.1473480412292989,,
30,10,10,10,41,41,34.059,-117.312,0.4986803957797792,0.4233544313520612,0.1923102797713569,0.3575632484917831,1.3997400672942564,-0.1954857582141894,-0.872575034445017,,
30,11,11,11,41,41,34.704,-118.426,0.0648077587611568,0.1446803488559924,-0.024665159985538,-0.5431842822224956,-0.1270969609449576,0.2410364086423692,0.6453581305742162,,
30,12,12,12,41,41,34.87,-118.9,-1.354671090184434,-1.341256638675322,-1.35213921264375,-0.7207193451592883,-1.1331597666057174,-2.311302271382985,-2.2779065956649465,,
30,13,13,13,41,41,34.808,-118.72,0.4028454657239073,0.4424941519394898,0.5367494320829105,0.1169958549445911,0.0954004120234436,-0.1958574705760986,0.1735299654972231,,
30,14,14,14,41,41,33.729,-116.979,1.5678799729116968,1.6455891734853725,1.802551679712304,1.974376246921988,1.2833799346352597,1.418571467863318,0.8560034783310471,,
30,15,15,15,41,41,35.644,-118.474,-1.0052977120139963,-1.1071351048117228,-1.250315382134744,-1.300718423007322,-0.0334155899336716,-0.3891042776773195,0.2180533013380083,,
30,16,16,16,41,41,34.09,-118.339,0.9505765160001658,1.4230251848310775,1.0157971620049624,1.6711534518218638,0.416857135203411,0.3344871548954168,0.4880464200506242,,
30,17,17,17,41,41,33.77,-118.23,-1.6961106208244467,-1.699060949752354,-1.87405883287732,-2.189201888985304,-0.8988369322230684,-0.5408944239145826,-1.0209341956584288,,
30,18,18,18,41,41,34.674,-118.43,-0.0852242166385055,-0.160362470982795,-0.4324223855209292,-0.804900013902118,-0.4116704224879935,1.1215449008649054,2.2852082879909243,,
30,19,19,19,41,41,34.571,-118.56,1.78728941817041,1.902057624740329,1.6125489965493889,1.3295153145195813,1.7299753222872656,-0.0208778789990674,0.6068069392936503,,
30,20,20,20,41,41,34.65,-118.478,0.8380301661538531,0.9864871687032156,0.9888635438624528,0.6795226257255998,0.100590453979259,0.5306758713511224,0.5268871796611911,,
30,21,21,21,41,41,34.608,-118.558,0.708192486742671,1.0315210319151742,1.657780930186034,0.7030009575370436,-0.3571852401889526,-0.8637484897235133,-0.7198495714792572,,
30,22,22,22,41,41,35.997,-119.486,-0.0460264073206487,-0.0567042831261627,0.1728448067730193,-0.1757695825243484,0.4560082185691753,0.2153925470924326,0.3574398227509016,,
30,23,23,23,41,41,35.04,-119.429,-1.3955085000830314,-1.447422999930333,-1.5340864510831165,-1.641906033221978,-0.6963906233563335,-0.5887280445717918,-0.4269064788055003,,
30,24,24,24,41,41,35.078,-119.401,-1.7751254846324855,-1.818072747870236,-1.653816423873499,-1.669895560779585,-1.422859946540724,-1.270462403137579,-0.9302246240030138,,
30,25,25,25,41,41,34.57806,-118.11401,0.1922706513063918,0.1157638574390392,0.0942995128216585,0.9129703773280098,0.4292336380708884,1.1130542743693563,0.9694201875271368,,
30,26,26,26,41,41,34.139,-118.121,-0.2336817756570933,-0.3654744764275645,-0.5650610959024176,-0.5537706621059432,0.349432996693883,0.4382141374934322,1.0566583423371996,,
30,27,27,27,41,41,34.5083,-117.922,1.4048356769089556,1.4332337061686955,1.7173925334079243,1.5704389442190183,-0.0090329217506631,-0.0285413255575817,-0.1689156769395958,,
30,28,28,28,41,41,34.145,-119.206,-1.306546275572716,-1.2487955842705192,-1.4662045269549835,-1.744643817417426,-0.4030936153393923,-0.6795732064650628,0.0592921559825796,,
30,29,29,29,41,41,34.091,-117.808,0.2701740992244849,0.2109312866129117,-0.215446727045951,0.3457353733038917,-0.4673730117193837,0.8805087123767739,0.0434856870163063,,
30,30,30,30,41,41,32.719,-117.163,-0.9605795083616429,-0.8931853666481514,-0.5616011735413308,-0.7087857680434638,-0.9339269734617288,0.0926819804347801,0.1220169790966688,,
30,31,31,31,41,41,33.4894,-117.671,1.2024898136637734,1.153120051066215,0.9200403496404836,0.9524614337546778,1.3315333293044291,1.8936020073205373,1.9540211186743848,,
30,32,32,32,41,41,33.37,-117.56,-0.396721643394031,-0.4747293609271319,-0.5873770967404618,-0.5179277677298384,0.2637459725869432,0.1996538264536575,0.5292177396054709,,
30,33,33,33,41,41,34.185,-118.018,1.8031259046156107,1.8678188505234103,1.6583685980414462,1.7277547497464056,0.3331728704231704,0.0489251611604862,-0.7004455252312205,,
30,34,34,34,41,41,34.46,-118.753,0.4628004733693574,0.3612089491321162,0.4854982346444376,2.080950334418489,-1.0577194730156294,-0.4812449169368279,0.1487801014034372,,
30,35,35,35,41,41,34.9417,-118.827,0.3183370842513113,0.5015034546878844,0.7625636665554303,1.0174490057299934,0.1939930874180468,-0.5183067510706179,-1.7812592402385037,,
30,36,36,36,41,41,34.41,-119.85,-0.2775065914836587,-0.2450459430523443,-0.4481939940883136,-0.9548605383887864,0.0741053121180363,0.6971087558664459,0.8047117339263004,,
30,37,37,37,41,41,34.155,-117.675,0.9261877983988924,0.7426884048661584,0.6837971850250244,1.0163075898620555,1.3926156949840525,0.3941122926111622,-0.257568836198939,,
