method,seconds,curve_rmse,curve_max_abs_difference,passed,tolerance
GH08 semivariogram,0.0549972000007983,5.9928766033449975e-09,2.5017816013273023e-08,True,1e-05
PCA semivariogram,0.2976924999966286,3.8922070108851766e-09,2.315959268806012e-08,True,1e-05
PCA MLE,13.578594399994472,1.342808371751013e-06,2.4913753843280877e-06,True,1e-05
