representation,log_likelihood,pseudo_rmse,pseudo_crps,station_rmse,station_crps,period_rmse,period_crps
Separable kernel semivariogram,-27347.17059643979,0.3715435736503363,0.183785585310497,0.7991037727103977,0.4341778853940932,0.4255941559822776,0.2060858939099696
PCA MLE,-25005.973823905533,0.3680590457785446,0.1816741506826058,0.7947770424462054,0.4319299849709981,0.422420724297643,0.204499031692815
PCA semivariogram,-25992.745889039703,0.3706982608445444,0.1834893322559268,0.797753280616956,0.4333432691704048,0.4281820823170073,0.2078260409981498
LMC MLE,-24260.028170630743,0.3616418272011174,0.1780699913473852,0.7923389391157579,0.429744381239153,0.4186421116646379,0.2028995262323752
LMC semivariogram,-25248.894036001337,0.3661626264424024,0.1812109748036319,0.7941410358858703,0.4306890322240187,0.4249626994207684,0.2084932353522748
