Unnamed: 0,recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaWT001,scaled_deltaWT003,scaled_deltaWT006,scaled_deltaWT010,scaled_deltaWT030,scaled_deltaWT060,scaled_deltaWT100,scaled_deltaWT300,scaled_deltaWT600,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca1_normalized,pca2_normalized,pca3_normalized,pca4_normalized,pca5_normalized,pca6_normalized,pca7_normalized,pca8_normalized,pca9_normalized
4756,10167,1016,4.34,CALIFORNIA,-116.981,33.921,233.38597013859507,2.108177010099676,341.0,0.6391120204583419,0.666476930919746,0.7511701076555887,0.231577388578884,-0.3715141624811959,0.901577655599932,0.806579458555762,1.5282615418662395,0.8706031714857149,1.7809875317048247,1.2402694835328332,0.3443478465136301,-0.7757120225685268,-0.0987207699623408,0.5862915271194872,-0.2954843021488552,0.0489814330053029,-0.0118324823539255,0.7384753852623149,0.9533858192989544,0.3938146424192971,-1.4218007085078304,-0.2216458865299246,1.6958898792013533,-1.0436338482088878,0.2838138448902684,-0.2217439815455884
4757,10169,1016,4.34,CALIFORNIA,-117.26119,33.57508,236.2308861192234,2.305467347954175,399.9,-0.4265848221514772,-0.1807313451945646,0.1535393001407704,-0.0739937918386893,-0.4661880349589328,-0.7139523334935742,-1.443282438836016,-0.4448686527244864,-0.6711601911509636,-1.2239598525666373,-1.1493496497796971,0.7018608778049046,-0.0276722920022294,0.3580489811522134,0.4317466923563249,-0.1118179537449511,0.2174160371800213,0.1112662217420296,-0.5075073281420127,-0.8834964272401007,0.8026856953493151,-0.0507204777418924,0.8038843687999218,1.2488579692480004,-0.3949346903271318,1.2597769739849556,2.085159671708836
4758,10172,1016,4.34,CALIFORNIA,-117.65853,34.23883,161.69030696951256,2.1268850510366604,500.0,-1.4249577570120904,-1.413940144590218,-0.8528882492310289,-0.4098395830928416,-1.195771906445849,-1.0806741401199305,-0.9306120871295828,-0.0348930865024407,-0.7640306437723257,-2.705828182484299,-0.0361364959174212,0.3310965410360592,-0.5564876134576556,0.4229993661915981,0.1468209922359413,0.5791173364247623,0.2617069711910844,-0.0351662910361135,-1.1219547997626833,-0.0277778524943542,0.3786597396630462,-1.0199848140422887,0.949709666536214,0.4246901469147247,2.045409688373178,1.5164125908747272,-0.6590259894156291
4759,10174,1016,4.34,CALIFORNIA,-116.39,34.069,274.2425583543227,1.9507731173774427,524.0,-0.250563440183123,-0.0582058258534841,-0.211138666472634,-0.4203352784266634,-0.9202803137382604,-0.9428311392086144,-0.4395858325009236,0.3111558234957505,1.1405086452690512,-0.8150530505800132,0.7500724177629767,1.3526792651150836,-0.0662104912871133,-0.3618913541373336,-0.1062050950198673,-0.378034893921821,-0.1739481324538896,0.1041842365315394,-0.3379566700055129,0.5765750234421311,1.546996464455045,-0.1213570509207276,-0.8125111873203857,-0.3072057797743064,-1.335197870857172,-1.0079102479071032,1.9524413163503709
4760,10176,1016,4.34,CALIFORNIA,-117.98116,33.80776,171.86031962344856,2.460899241754299,265.59,-0.0980891624796395,-0.0417132073813788,0.0570073703611722,-0.2201563615871525,-0.3364147851106588,-0.0226177091453965,0.4130314698192301,0.9008377475333068,0.0278020181734094,0.1240103440544082,0.700522938795179,0.0421956764913366,-0.6462308271900146,0.2974619946561742,0.0245984501443881,-0.1274132824162941,0.0958213312641709,0.0186057065822776,0.0514201166329497,0.5384867118060256,0.0482572358657638,-1.1844749355772628,0.6678556856847685,0.0711527639651613,-0.4500165094186817,0.5552189631864003,0.3486760709729241
4761,10177,1016,4.34,CALIFORNIA,-118.57398,34.68224,64.41984612526728,2.1831935847067125,461.0,0.7537562469656995,0.6448216742218084,0.8717376721748493,1.4824075786615107,1.049494402864038,-0.4973719521368745,-0.5917844431217877,-0.6762024104464778,0.1137524040668737,1.2766730936794897,-1.6540947411510292,0.9561176746296948,0.5923561044372273,0.0382968994851698,-0.4732820199136748,0.4318338983489969,-0.005048257252371,-0.0756265846655287,0.5293645451894426,-1.2714901809068164,1.0934673875771106,1.0857280852616753,0.0859834282185598,-1.3690018539462814,1.525212912643913,-0.0292511919901463,-1.417263046994138
4762,10179,1016,4.34,CALIFORNIA,-117.19495,33.38822,255.1344591002627,2.3482201826782645,652.2,-0.6126180479108385,-0.5384094092434256,-0.4351207045896674,-0.3962575943941722,-1.1254045326324429,-1.6108249455018215,-1.866546869310524,-1.363127679743721,-1.5822802015517483,-2.7804366154013462,-2.0330668244056307,0.5790116601334555,-0.3296124761355074,0.2270194047887729,0.148196226101339,-0.2294048733201091,-0.1573882328848117,0.0116514916217476,-1.1528907216944295,-1.5628031696421028,0.6621887495469923,-0.6041459181600922,0.5096994001677485,0.4286681085361754,-0.8102450417834,-0.9119569758338292,0.2183521653251596
4763,10180,1016,4.34,CALIFORNIA,-117.36453,35.52495,171.86322207983395,1.2280235977460947,432.0,-1.580490390181707,-1.5467733689380807,-1.6270546775269006,-1.7872814933645815,-1.60384793810944,-1.328432267227403,-0.5160663281328447,-0.0706304807167433,0.2463038192210752,-3.498806954324704,1.2714550278490202,0.2757572019250653,-0.1483629853632842,-0.1235940048838919,-0.2045344128279877,-0.2323405515608644,-0.0745046773312674,0.0130819785977605,-1.4507585076017424,0.9773579125520128,0.3153707071792794,-0.2719341605759625,-0.2774907731445382,-0.5916303146449592,-0.8206136913435349,-0.4317035586404043,0.2451598856430329
4764,10181,1016,4.34,CALIFORNIA,-117.80295,36.5504,209.1496634910989,0.6142605633388775,715.0,0.6423958280411098,0.6172863558157846,0.4577326031261305,0.3113015501010301,1.0078478605519194,0.1923472563673779,-0.1978586157576082,0.4931548884285376,0.5364920044863496,1.3512672812458493,-0.0721379522663542,0.4617487092116074,0.6031506533034356,0.4896526424357732,-0.0474289443957865,-0.2041599644871964,-0.0304410005744257,0.0022957970603327,0.5602945603752686,-0.0554519010885478,0.5280805576303882,1.1055133880280017,1.0993582613445791,-0.1371915899538926,-0.7210814511581938,-0.1763847418347127,0.0430238698653074
4765,10183,1016,4.34,CALIFORNIA,-118.41502,33.4019,191.54693741158104,2.7769581418601823,505.0,-0.1709607121097276,-0.1453284722865929,-0.2334679264544154,0.136972628622374,-0.2875567185188189,-0.2552423068369296,-0.8970644402840398,-0.6084554761848562,-0.7734996613885717,-0.853676399729473,-1.0651921974548095,0.0742319220392732,0.0149239016525213,0.1550994464804923,0.3536868112223366,0.1542695404791403,-0.1577126710448362,0.0247026039483072,-0.3539716011240735,-0.8188052269000483,0.0848956023101959,0.0273539835994762,0.3482261567508359,1.0230642194437125,0.5448712944167002,-0.9138368726840436,0.4629336085360118
